transcript_id	wt_mrna_YPD1.genes.results	wt_mrna_YPD2.genes.results	wt_mrna_YPD3.genes.results	ncs2d_mrna_YPD1.genes.results	ncs2d_mrna_YPD2.genes.results	ncs2d_mrna_YPD3.genes.results	elp6d_mrna_YPD1.genes.results	elp6d_mrna_YPD2.genes.results	elp6d_mrna_YPD3.genes.results	ncs2d_elp6d_mrna_YPD1.genes.results	ncs2d_elp6d_mrna_YPD2.genes.results	ncs2d_elp6d_mrna_YPD3.genes.results
YER026C	1569.0	1550.0	2096.0	2330.0	2316.0	3974.0	1841.0	4700.0	4156.0	3126.0	3010.0	6249.0
YER027C	578.0	517.0	790.0	796.0	641.0	1130.0	532.0	1514.0	1139.0	871.0	1088.0	1788.0
YER028C	159.0	177.0	258.0	212.0	216.0	368.0	224.0	548.0	465.0	212.0	266.0	403.0
YER029C	230.0	207.0	366.0	197.0	293.0	561.0	206.0	458.0	446.0	337.0	284.0	677.0
YER030W	234.0	272.0	568.0	198.0	348.0	860.0	297.0	686.0	562.0	553.0	314.0	1122.0
YER031C	1347.0	1337.0	1946.0	1538.0	1534.0	2715.0	1162.0	3008.0	2723.0	1790.0	1888.0	3446.0
YER032W	356.0	365.0	622.0	474.0	477.0	581.0	385.0	1009.0	942.0	743.0	746.0	1425.0
YER033C	103.0	104.0	190.0	171.0	136.0	202.0	108.0	342.0	279.0	228.0	275.0	531.0
YER034W	128.0	129.0	177.0	155.0	165.0	256.0	134.0	458.0	384.0	306.0	288.0	582.0
YER035W	145.0	129.0	172.0	170.0	137.0	238.0	119.0	373.0	298.0	247.0	250.0	484.0
YER036C	4873.0	5333.0	7022.0	5853.0	5192.0	8420.0	4400.0	11608.0	9459.0	5298.0	5660.0	11160.0
YER037W	208.63	181.0	308.25	211.21	237.77	331.37	180.17	445.0	409.61	263.1	223.88	471.57
YER038C	179.37	190.0	268.75	245.79	239.23	326.63	182.83	426.0	380.39	309.9	237.12	508.43
YER038W-A	7.86	2.94	0.0	0.0	0.0	20.32	0.0	0.0	0.0	0.0	16.77	17.47
YER039C	58.14	68.06	116.0	74.0	80.0	88.68	38.0	191.0	135.0	85.0	62.23	155.53
YER039C-A	20.0	14.0	27.0	20.0	20.0	36.0	11.0	52.0	39.0	25.0	16.0	47.0
YER040W	277.0	212.0	460.0	325.0	331.0	518.0	327.0	890.0	735.0	519.0	497.0	1122.0
YER041W	343.0	289.0	480.0	435.0	416.0	605.0	320.0	812.0	722.0	512.0	389.0	892.0
YER042W	408.0	422.0	705.0	582.0	576.0	1127.0	487.0	1189.0	1143.0	905.0	789.0	1809.0
YER043C	5984.0	6869.0	7462.0	6102.0	4999.0	8297.0	4562.0	12248.0	10125.0	5586.0	6838.0	11462.0
YER044C	551.0	542.0	796.0	413.0	369.0	602.0	316.0	811.0	714.0	303.0	326.0	620.0
YER044C-A	39.0	38.0	72.0	44.0	50.0	57.0	42.0	106.0	84.0	62.0	49.0	98.0
YER045C	146.0	162.0	243.0	148.0	166.0	265.0	131.0	441.0	331.0	262.0	287.0	534.0
YER046W	100.0	97.0	164.0	101.0	113.0	208.0	108.0	250.0	236.0	165.0	156.0	315.0
YER047C	333.0	242.0	400.0	345.0	366.0	503.0	263.0	702.0	614.0	525.0	483.0	1038.0
YER048C	813.0	796.0	1605.0	698.0	931.0	1724.0	707.0	1742.0	1652.0	1014.0	694.0	2222.0
YER048W-A	377.0	319.0	509.0	369.0	389.0	720.0	313.0	789.0	661.0	437.0	296.0	816.0
YER049W	2311.0	2297.0	3089.0	2564.0	2741.0	4070.0	2106.0	5604.0	4550.0	2709.0	2533.0	5047.0
YER050C	226.0	194.0	394.0	246.0	360.0	624.0	267.0	613.0	634.0	531.0	338.0	953.0
YER051W	322.0	270.0	337.0	337.0	334.0	549.0	221.0	563.0	474.0	441.0	359.0	770.0
YER052C	1485.0	1480.0	1871.0	2354.0	1940.0	3143.0	2036.0	5979.0	4362.0	2816.0	3511.0	5553.0
YER053C	130.0	155.0	211.0	165.0	165.0	328.0	187.0	444.0	346.0	299.0	317.0	625.0
YER053C-A	14.0	16.0	25.0	24.0	22.0	19.0	17.0	63.0	48.0	27.0	17.0	44.0
YER054C	53.0	52.0	54.0	48.0	55.0	71.0	44.0	99.0	85.0	82.0	95.0	161.0
YER055C	4540.0	4561.0	6049.0	5410.0	5336.0	8089.0	5230.0	12973.0	10574.0	5458.0	5835.0	11514.0
YER056C	4885.9	4921.49	5757.13	5911.62	5592.39	7495.22	4455.03	11418.26	9816.41	5463.38	5469.38	10248.82
