transcript_id	SRR1944924.isoforms.results	SRR1944925.isoforms.results	SRR1944926.isoforms.results	SRR1944927.isoforms.results	SRR1944928.isoforms.results	SRR1944929.isoforms.results
NM_001179838.1	1753.0	2119.0	2731.0	2501.0	2237.0	4538.0
NM_001179839.3	186.0	193.0	246.0	238.0	215.0	399.0
NM_001179840.1	332.0	327.0	495.0	417.0	374.0	564.0
NM_001179841.3	283.0	241.0	375.0	374.0	396.0	590.0
NM_001179842.1	604.0	503.0	662.0	881.0	841.0	1232.0
NM_001179843.3	334.0	242.0	424.0	469.0	495.0	684.0
NM_001179844.1	405.0	475.0	847.0	511.0	441.0	854.0
NM_001179845.3	204.0	181.0	286.0	219.0	272.0	351.0
NM_001179846.1	852.0	835.0	1246.0	1275.0	1342.0	2100.0
NM_001179847.3	8964.56	8835.85	11463.75	7729.0	7758.99	15387.44
NM_001179848.1	125.0	140.0	200.0	163.0	146.0	265.0
NM_001179849.3	12597.21	12927.62	16121.32	12065.46	11279.2	19590.91
NM_001179850.1	298.0	247.0	575.0	265.0	358.0	710.0
NM_001179851.3	224.0	228.0	364.0	276.0	324.0	534.0
NM_001179852.1	458.0	513.0	616.0	531.0	580.0	854.0
NM_001179853.3	392.0	366.0	578.0	391.0	570.0	805.0
NM_001179854.1	359.0	357.0	588.0	435.0	468.0	781.0
