transcript_id	wt_mrna_YPD1.genes.results	wt_mrna_YPD2.genes.results	wt_mrna_YPD3.genes.results	ncs2d_mrna_YPD1.genes.results	ncs2d_mrna_YPD2.genes.results	ncs2d_mrna_YPD3.genes.results	elp6d_mrna_YPD1.genes.results	elp6d_mrna_YPD2.genes.results	elp6d_mrna_YPD3.genes.results	ncs2d_elp6d_mrna_YPD1.genes.results	ncs2d_elp6d_mrna_YPD2.genes.results	ncs2d_elp6d_mrna_YPD3.genes.results
YGL119W	35.47	31.08	27.67	33.26	35.29	31.05	30.51	31.61	28.03	32.95	33.46	33.31
YGL120C	139.22	132.48	139.69	190.38	181.56	169.14	184.66	182.51	180.43	234.11	227.03	234.78
YGL121C	11.1	12.9	12.53	14.06	10.26	17.09	12.35	15.47	10.63	14.38	15.95	14.65
YGL122C	73.11	70.65	78.49	92.76	89.36	82.96	91.77	91.68	83.72	105.02	120.31	109.74
YGL123W	5796.12	5614.66	5390.18	4733.1	4846.4	5200.74	5234.02	5184.53	5406.8	4065.16	4039.26	4240.79
YGL124C	26.7	25.92	24.43	27.96	36.61	25.91	27.75	27.79	28.93	32.93	30.59	29.3
YGL125W	17.74	18.47	15.58	19.29	16.69	15.17	16.59	20.12	18.48	20.38	20.23	18.62
YGL126W	92.9	101.77	84.23	99.17	96.25	89.76	106.44	108.09	103.34	121.59	123.21	105.49
YGL127C	49.08	54.09	48.56	57.34	49.63	42.67	50.17	55.34	50.18	53.81	72.57	51.23
YGL128C	22.61	19.34	19.86	23.19	23.44	25.87	22.79	27.18	23.74	24.63	28.87	22.78
YGL129C	50.18	38.74	49.05	47.79	48.64	48.58	42.81	46.14	44.43	46.98	40.96	44.82
YGL130W	54.32	47.35	48.7	65.64	71.45	59.4	56.44	59.36	56.95	72.5	69.62	65.96
YGL131C	9.9	8.05	10.36	10.44	12.11	7.83	10.67	10.95	10.21	12.07	10.22	12.0
YGL133W	18.4	16.91	19.26	23.02	24.93	21.39	23.65	19.6	21.55	31.05	21.61	28.34
YGL134W	30.73	31.0	32.11	32.22	33.3	30.61	28.8	25.41	32.24	31.05	26.2	26.13
YGL135W	5629.1	6067.48	5429.3	4276.42	4633.06	4957.93	4897.27	4925.9	4792.38	3550.1	3699.16	3680.54
YGL136C	38.72	38.94	44.71	42.94	51.47	50.66	41.0	47.29	45.04	51.32	54.37	46.85
YGL137W	127.15	126.28	134.48	163.05	152.37	124.32	150.03	143.42	144.77	156.56	174.81	156.78
YGL138C	0.0	0.24	0.27	0.11	0.36	0.96	0.58	0.22	0.32	0.41	0.4	0.55
YGL139W	40.6	34.11	35.07	42.48	42.58	30.81	34.63	38.49	38.59	47.81	39.71	42.2
YGL140C	24.57	24.55	29.03	34.93	26.84	26.74	35.73	30.33	33.2	37.13	34.95	37.41
YGL141W	23.4	22.11	20.73	29.0	30.63	24.02	22.27	23.88	23.48	31.46	27.28	31.09
YGL142C	37.11	35.78	34.04	38.87	38.26	34.62	32.74	38.01	36.41	40.3	43.72	35.35
YGL143C	23.26	21.39	21.89	20.56	22.36	23.74	25.23	22.83	22.84	21.98	24.62	23.85
YGL144C	14.47	16.07	15.05	18.76	19.25	18.1	15.94	15.13	15.65	18.4	19.25	16.71
YGL145W	28.72	20.36	31.51	26.83	36.92	34.43	27.15	28.89	31.7	44.36	26.59	39.11
YGL146C	8.08	8.41	8.02	8.86	9.02	6.54	10.38	9.97	9.79	10.65	9.91	9.85
YGL147C	4184.77	3607.35	3935.82	3470.59	3627.85	4168.82	3860.01	3638.39	4325.32	3206.47	2393.23	3381.95
YGL148W	434.64	418.67	403.92	350.36	379.82	357.95	469.84	454.6	482.18	435.73	419.06	430.72
YGL149W	1.69	5.26	6.78	5.8	6.08	2.27	3.34	5.26	5.86	10.41	8.71	6.54
YGL150C	22.78	23.3	27.33	27.35	28.87	22.41	29.13	26.61	29.18	37.01	28.09	33.83
YGL151W	29.43	23.65	27.64	31.13	38.03	29.53	28.39	28.83	33.44	41.31	25.46	32.98
YGL153W	34.46	31.33	38.42	27.04	35.38	36.75	32.82	30.07	32.59	29.91	25.73	31.46
YGL154C	35.91	23.76	34.61	34.36	40.57	38.36	37.54	39.16	39.34	43.24	42.95	40.19
YGL155W	65.59	61.44	68.32	70.62	73.72	68.44	69.94	62.78	71.89	75.11	56.68	77.39
YGL156W	6.51	5.11	6.99	6.13	5.24	4.24	5.1	5.51	5.85	6.48	7.09	5.02
YGL157W	71.25	62.67	80.37	76.78	69.56	75.92	74.42	77.29	82.41	78.83	76.97	73.73
YGL158W	1.11	1.55	1.26	1.62	1.3	1.91	1.76	1.77	1.56	3.08	3.16	3.09
YGL159W	44.35	34.19	48.72	36.67	46.84	46.21	40.51	45.61	45.31	42.83	30.97	43.88
YGL160W	44.44	39.3	41.98	42.54	46.28	39.94	39.75	40.29	42.05	47.36	42.99	45.48
YGL161C	113.85	108.21	112.79	136.71	151.88	147.12	137.81	154.2	145.33	180.69	185.29	179.25
YGL162W	18.38	15.26	13.22	21.97	19.86	18.03	19.43	21.61	18.29	22.02	21.51	21.06
YGL163C	19.48	20.49	19.13	23.59	25.8	22.05	22.34	23.2	24.64	32.51	25.98	30.65
YGL164C	23.92	19.33	25.49	20.66	28.63	27.65	24.38	25.95	24.23	39.59	26.65	35.16
YGL166W	41.91	39.08	39.14	34.96	39.76	39.62	34.03	39.53	38.22	35.41	39.03	36.18
YGL167C	46.39	48.3	47.63	48.62	53.11	40.93	43.41	49.38	45.17	47.37	58.08	34.41
YGL168W	86.04	65.67	93.18	84.98	86.77	94.17	77.84	87.4	69.83	71.82	85.86	64.06
YGL169W	59.2	57.05	54.65	78.0	89.47	76.88	67.91	77.24	77.64	91.06	85.04	81.86
YGL170C	2.84	3.93	3.92	3.44	3.81	4.94	3.98	4.57	4.34	5.54	4.41	4.84
YGL171W	49.47	42.17	53.12	42.57	61.13	55.9	51.34	45.18	50.84	64.07	43.93	56.96
YGL172W	95.63	85.14	86.51	114.55	128.47	119.03	116.47	117.2	121.45	137.1	123.48	131.45
YGL173C	69.95	70.44	88.97	92.2	81.85	74.82	87.28	85.48	83.38	94.0	95.17	90.63
YGL174W	15.43	12.92	19.97	15.94	18.72	19.25	15.65	13.67	14.73	20.03	17.72	16.42
YGL175C	7.17	6.63	6.01	8.22	8.74	5.22	11.1	11.29	8.71	12.82	9.54	10.75
YGL176C	20.61	22.63	21.84	24.31	24.82	23.04	19.68	24.89	22.37	29.44	26.12	26.29
YGL178W	11.96	10.73	9.87	11.93	13.48	8.26	11.62	13.89	14.44	17.24	19.83	13.95
YGL179C	14.09	11.34	15.21	14.78	15.5	14.12	15.72	16.01	14.75	18.05	17.17	18.91
YGL180W	3.56	4.21	4.83	5.49	4.69	4.42	5.2	4.36	5.07	7.9	8.63	6.53
YGL181W	70.43	62.26	62.21	78.16	80.49	63.7	59.02	70.36	74.73	88.23	74.06	78.04
YGL183C	3.54	1.7	0.83	2.32	2.06	2.25	2.25	2.13	1.3	2.59	1.4	1.65
YGL184C	3.74	4.49	5.0	5.19	3.92	4.7	6.76	7.59	5.15	6.0	5.7	6.02
YGL185C	27.73	22.08	30.59	26.65	33.95	35.11	26.28	25.6	24.05	35.23	30.16	31.64
YGL186C	88.72	78.99	70.81	102.58	98.74	81.62	86.05	86.69	81.42	91.84	99.66	82.97
YGL187C	119.21	112.7	102.72	120.58	142.18	109.33	110.22	125.19	129.18	136.28	104.46	129.82
YGL188C-A	36.44	35.76	31.09	48.09	93.41	54.02	55.73	44.8	48.62	59.92	40.46	64.14
YGL189C	3184.92	3051.51	3346.13	3028.3	2671.4	3566.77	3226.57	3038.58	3243.55	2737.7	3102.17	3111.84
YGL190C	33.71	24.7	36.15	40.12	44.04	37.01	33.26	35.4	38.78	52.04	41.32	46.41
YGL191W	158.83	133.04	158.98	167.34	201.8	224.72	207.85	184.36	221.33	305.56	252.41	304.75
YGL192W	0.0	0.0	0.05	0.0	0.0	0.12	0.0	0.03	0.07	0.0	0.0	0.06
YGL193C	1.22	1.57	2.87	2.97	2.72	1.56	0.0	2.3	2.08	1.34	3.55	2.77
YGL194C	55.44	50.75	55.46	66.91	81.17	58.05	65.59	67.12	68.41	76.14	77.68	71.47
YGL194C-A	59.19	42.8	63.11	29.25	44.52	59.27	48.84	32.21	53.96	31.59	27.5	30.5
