transcript_id	wt_mrna_YPD1.isoforms.results	wt_mrna_YPD2.isoforms.results	wt_mrna_YPD3.isoforms.results	ncs2d_mrna_YPD1.isoforms.results	ncs2d_mrna_YPD2.isoforms.results	ncs2d_mrna_YPD3.isoforms.results	elp6d_mrna_YPD1.isoforms.results	elp6d_mrna_YPD2.isoforms.results	elp6d_mrna_YPD3.isoforms.results	ncs2d_elp6d_mrna_YPD1.isoforms.results	ncs2d_elp6d_mrna_YPD2.isoforms.results	ncs2d_elp6d_mrna_YPD3.isoforms.results
NM_001181933.1	504.0	553.0	690.0	343.0	342.0	436.0	241.0	652.0	537.0	359.0	434.0	602.0
NM_001181934.1	361.0	368.0	484.0	514.0	424.0	512.0	322.0	842.0	688.0	543.0	601.0	899.0
NM_001181935.1	12990.39	13682.71	18920.84	14039.1	11727.09	23428.88	11553.87	30770.82	25922.53	13557.17	16138.87	30712.91
NM_001181936.1	701.0	661.0	1024.0	852.0	982.0	1424.0	586.0	1483.0	1386.0	945.0	716.0	1894.0
NM_001181937.1	332.0	318.0	528.0	353.0	324.0	661.0	302.0	786.0	700.0	375.0	352.0	809.0
NM_001181938.1	385.0	317.0	548.0	351.0	531.0	911.0	359.0	752.0	735.0	631.0	281.0	1192.0
NM_001181939.1	325.0	321.0	516.0	396.0	396.0	659.0	314.0	865.0	744.0	551.0	495.0	1063.0
NM_001181940.1	64.0	60.0	80.0	52.0	66.0	96.0	46.0	142.0	136.0	70.0	94.0	134.0
NM_001181941.1	49.0	37.0	44.0	42.0	53.0	72.0	39.0	100.0	90.0	68.0	64.0	123.0
NM_001181942.1	524.0	604.0	710.0	573.0	564.0	723.0	432.0	1186.0	893.0	609.0	718.0	1153.0
NM_001181943.1	6326.0	6055.0	7873.0	6982.0	6729.0	8814.0	5575.0	15264.0	12552.0	7471.0	8445.0	15688.0
NM_001181944.1	597.0	605.0	777.0	657.0	750.0	1033.0	455.0	1259.0	1275.0	988.0	711.0	1620.0
