transcript_id	SRR1944924.isoforms.results	SRR1944925.isoforms.results	SRR1944926.isoforms.results	SRR1944927.isoforms.results	SRR1944928.isoforms.results	SRR1944929.isoforms.results
NM_001184434.2	0.0	0.0	0.0	0.0	0.0	0.0
NM_001181167.1	139.94	112.15	121.54	155.24	154.79	149.88
NM_001348840.1	14.73	18.83	15.53	10.41	11.3	11.84
NM_001181169.3	41.26	46.57	41.7	38.35	43.92	37.55
NM_001181170.3	48.71	45.39	48.76	52.68	49.68	43.28
NM_001181171.1	33.72	31.86	40.87	31.51	48.57	44.66
NM_001181172.1	9.13	6.75	7.15	13.63	14.42	17.52
NM_001181173.1	71.0	62.23	78.54	80.02	77.0	71.74
NM_001348841.1	13.43	8.81	12.66	10.6	11.78	10.61
NM_001181175.3	39.34	31.1	29.39	36.27	41.14	31.84
NM_001181176.3	19.08	18.29	19.87	23.33	26.33	21.93
NM_001181177.1	54.58	49.31	51.22	60.54	79.77	76.54
NM_001181178.1	42.52	44.95	52.33	40.52	40.07	39.01
NM_001270748.1	24.78	17.56	26.24	18.93	27.71	22.54
NM_001181181.1	4.24	3.62	4.06	6.64	9.1	3.6
NM_001181182.3	4.59	4.26	4.73	2.64	5.54	5.35
NM_001181183.4	93.81	92.73	88.89	107.9	99.23	81.43
NM_001181184.1	204.03	216.3	164.44	189.76	197.27	148.96
NM_001181185.1	22.63	21.33	22.7	29.92	28.62	23.67
NM_001181186.3	48.04	46.05	43.8	54.37	64.14	54.78
NM_001181187.2	20.1	20.89	20.5	24.63	25.33	25.48
NM_001181188.3	0.94	0.9	0.84	0.93	1.3	1.02
NM_001181189.3	559.68	465.55	528.67	512.05	572.52	465.36
NM_001181190.1	125.02	125.32	135.28	147.54	117.99	106.1
NM_001181191.1	32.01	32.0	30.6	25.72	29.58	30.59
NM_001181192.3	165.2	159.54	156.13	150.5	183.35	190.69
NM_001181194.1	55.21	47.48	44.49	72.88	71.98	58.05
NM_001181195.3	4.45	3.13	5.84	7.02	7.07	4.21
NM_001181196.4	2.23	2.3	2.14	2.33	3.37	2.23
NM_001181197.1	21.63	19.45	20.54	24.81	18.83	17.46
NM_001181199.2	8.51	7.97	8.06	10.32	10.35	9.56
NM_001181200.3	19.67	16.02	19.69	19.4	25.72	18.35
NM_001181201.1	22.5	13.59	25.45	20.65	28.29	34.01
NM_001181203.3	135.34	134.37	125.56	124.8	148.17	139.06
NM_001181204.3	55.74	48.04	56.96	57.99	68.75	63.22
NM_001181205.1	37.06	30.3	41.74	29.96	38.68	42.09
NM_001181206.1	31.32	26.82	32.75	35.34	29.05	29.57
NM_001181207.3	76.79	86.88	90.89	96.12	97.88	106.48
NM_001181208.1	60.08	56.13	47.18	72.76	75.16	62.44
NM_001181209.3	59.15	48.42	53.24	61.71	60.09	50.49
NM_001181210.3	68.75	49.57	90.56	53.15	79.77	82.77
NM_001181211.1	154.23	156.16	149.44	145.91	138.2	155.92
NM_001181212.1	80.69	69.11	73.84	82.73	90.7	83.79
NM_001181213.3	47.94	38.34	52.69	47.88	56.42	54.08
NM_001181214.1	1456.53	1481.67	1657.94	1404.92	1499.35	1667.48
NM_001181215.3	397.25	452.68	417.67	567.06	502.4	494.28
NM_001181216.3	0.85	0.37	1.09	1.41	1.85	0.85
NM_001181217.1	10.57	11.7	10.54	20.63	20.07	15.74
NM_001181218.1	27.91	29.81	28.76	37.37	37.92	30.03
NM_001181219.3	58.72	58.8	65.42	73.32	75.58	57.57
NM_001181220.1	23.5	22.27	23.59	29.62	29.04	21.46
NM_001181221.3	34.99	31.05	35.0	37.97	39.23	34.86
NM_001181222.3	39.43	36.07	37.93	44.13	46.67	48.02
NM_001181223.1	319.56	343.76	325.95	366.25	314.35	306.7
NM_001181224.1	91.53	76.79	91.23	91.96	106.36	116.7
NM_001181225.3	17.7	17.89	18.07	15.2	17.78	17.28
NM_001181226.1	19.07	15.78	20.88	22.89	19.48	17.45
NM_001181227.3	11.94	10.98	16.15	14.2	14.15	12.19
NM_001181228.3	32.25	29.2	33.47	38.72	37.32	34.61
NM_001181229.1	28.79	27.34	29.09	33.13	35.04	28.38
NM_001181230.1	52.51	51.3	46.7	61.65	67.26	57.66
NM_001181231.3	37.32	37.13	39.92	48.0	48.08	50.35
NM_001181232.1	166.85	130.08	185.83	124.56	190.82	200.62
NM_001181233.3	34.21	27.64	34.27	34.81	45.38	37.8
NM_001181234.3	248.68	197.53	241.45	222.55	297.54	281.16
NM_001181235.1	569.32	565.62	526.88	475.49	561.51	516.06
NM_001181237.1	59.18	64.28	52.91	48.31	58.67	40.49
NM_001181238.3	32.41	31.51	26.8	31.43	40.48	31.94
NM_001184380.3	36.14	32.82	25.41	34.88	47.6	33.22
NM_001184381.2	10.17	8.75	9.98	11.67	10.58	8.07
NM_001181239.3	15.09	14.74	15.9	20.39	22.4	17.11
NM_001181240.1	49.97	43.93	57.07	45.11	54.45	48.07
NM_001181241.1	18.69	18.88	19.19	19.83	18.02	18.99
NM_001181242.3	49.29	44.46	53.51	54.58	60.48	59.13
NM_001181245.1	51.05	49.84	61.8	54.1	61.24	56.36
NM_001181246.3	54.81	44.45	57.38	62.46	63.74	64.18
NM_001181247.3	3869.68	4099.53	3571.65	3133.51	3497.14	3343.0
NM_001181248.1	95.19	70.42	84.36	78.28	103.14	84.38
NM_001181249.1	52.53	54.79	52.93	47.14	53.67	49.41
NM_001181250.3	24.39	26.02	25.68	29.18	24.5	21.88
NM_001184551.1	6.99	8.93	7.77	5.82	6.66	7.63
NM_001181251.3	28.38	22.53	24.81	24.61	29.0	26.13
NM_001181252.3	84.68	78.72	84.55	88.24	75.23	83.05
NM_001181253.1	533.05	546.51	550.54	730.34	640.11	638.94
NM_001181254.1	20.23	17.57	22.52	21.66	22.18	21.16
NM_001181255.3	5.07	6.48	8.18	9.89	8.94	8.71
NM_001181256.1	16.69	15.74	19.75	19.47	18.55	21.79
NM_001181257.3	89.5	71.02	95.71	87.47	111.99	100.07
NM_001181258.3	18.85	14.03	23.11	14.94	21.02	19.92
NM_001181259.1	29.58	27.27	37.38	31.85	33.96	38.76
