name	wt_ribo_YPD1_cds_rpf	wt_ribo_YPD2_cds_rpf	wt_ribo_YPD3_cds_rpf	ncs2d_ribo_YPD1_cds_rpf	ncs2d_ribo_YPD2_cds_rpf	ncs2d_ribo_YPD3_cds_rpf	elp6d_ribo_YPD1_cds_rpf	elp6d_ribo_YPD2_cds_rpf	elp6d_ribo_YPD3_cds_rpf	ncs2d_elp6d_ribo_YPD1_cds_rpf	ncs2d_elp6d_ribo_YPD2_cds_rpf	ncs2d_elp6d_ribo_YPD3_cds_rpf
NM_001183096.1	529	680	430	717	570	324	565	391	402	549	504	705
NM_001183097.1	396	471	262	456	348	178	350	283	249	295	216	339
NM_001183098.2	232	277	143	329	304	135	201	187	117	271	278	349
NM_001183099.1	236	305	173	308	310	146	240	195	177	254	209	275
NM_001183100.1	1116	1426	888	1443	1252	667	1147	871	841	1241	997	1462
NM_001183101.1	1134	1331	657	1579	1442	745	1178	952	867	1594	1394	1979
NM_001183102.1	587	704	425	890	795	451	731	586	517	1038	975	1244
NM_001183103.1	267	407	241	396	408	225	307	206	206	382	348	482
NM_001183105.1	566	728	406	768	710	356	576	411	406	752	605	930
NM_001183106.1	3078	3627	1949	4362	3551	2010	3475	2768	2633	3978	3576	5009
NM_001183107.1	0	0	0	0	0	0	0	0	0	0	0	0
NM_001183108.1	70	73	51	84	81	67	93	92	71	114	100	146
NM_001183109.2	966	1272	641	1450	1072	626	994	784	757	1283	1048	1678
NM_001183110.1	390	525	303	607	452	241	445	309	267	541	475	640
NM_001183111.1	330	458	241	455	411	221	336	282	249	391	338	517
NM_001183112.1	234	255	122	373	333	162	254	218	177	527	450	681
NM_001183113.1	181	258	111	280	242	141	248	183	171	275	270	347
NM_001183115.1	109	142	63	47	55	25	66	44	43	48	47	58
NM_001183116.1	463	618	301	527	437	246	457	317	351	480	441	591
NM_001183117.1	10	30	12	83	52	36	20	35	14	35	19	26
NM_001183118.1	1155	1458	805	1554	1298	735	1257	1001	838	1282	1224	1818
NM_001183119.1	1885	2269	1170	2323	1938	951	1838	1339	1263	2087	1934	2519
NM_001183120.1	185	160	94	182	147	97	148	108	125	216	175	250
NM_001183121.1	444	512	237	437	436	176	311	246	234	385	316	493
NM_001183122.1	552	850	406	804	734	339	560	439	388	724	560	807
NM_001183124.1	122	203	113	254	148	81	166	135	105	186	165	243
NM_001183125.1	4997	6626	3248	8336	7109	3833	7048	5213	4856	9672	8134	12339
NM_001183126.1	635	775	421	688	639	357	557	471	421	685	526	797
NM_001183127.1	438	437	291	569	524	316	505	440	395	1078	885	1218
NM_001183128.1	727	853	476	1098	976	602	888	670	639	1263	1100	1581
NM_001183129.1	343	430	225	356	315	155	317	223	213	344	288	426
NM_001183130.1	801	936	476	751	661	384	667	489	487	767	627	927
NM_001183131.1	255	289	153	292	255	134	233	177	150	330	248	395
NM_001183132.1	72	93	63	125	91	57	86	59	65	93	83	129
NM_001183133.1	177	257	143	289	289	121	180	133	136	254	214	291
NM_001183135.1	982	1253	623	1448	1228	696	1288	978	939	1664	1415	2329
NM_001183136.1	535	710	360	864	730	396	697	581	518	1078	907	1373
NM_001183137.1	285	341	244	350	384	237	374	283	255	414	399	554
NM_001183138.1	1405	1657	1008	1379	1501	907	1431	1446	1343	2351	1915	2805
NM_001183139.1	14394	15929	8850	13685	12195	6586	10377	8365	7837	9919	8695	12893
NM_001183140.1	25888	30957	15687	31043	28014	13651	22521	17566	17271	25513	22488	30737
NM_001183142.1	182	248	116	213	220	103	173	125	116	176	175	244
NM_001183143.1	459	521	319	734	699	420	732	589	525	1148	1008	1523
NM_001183144.1	650	848	494	1027	875	515	829	592	596	961	832	1065
NM_001183145.1	1592	1938	1028	2154	1813	930	1652	1281	1223	1928	1593	2408
NM_001183146.1	2137	2678	1320	2582	2104	1171	1626	1275	1248	1912	1698	2375
NM_001183147.1	364	407	199	388	324	191	248	260	236	417	324	485
NM_001183148.1	328	479	231	418	362	182	317	241	262	363	331	421
NM_001183149.1	260	245	158	294	272	143	277	209	203	395	284	451
NM_001183150.1	1112	1423	679	1849	1527	757	1267	890	951	1900	1602	2243
NM_001183151.1	1334	1624	926	1911	1589	913	1418	1036	942	1754	1485	2286
NM_001183152.1	88	116	54	106	121	54	95	75	74	164	104	169
NM_001183153.1	540	559	396	646	593	351	508	418	378	697	575	827
NM_001183154.1	295	317	142	379	341	162	313	228	201	391	337	525
NM_001183155.1	291	347	178	378	314	179	325	230	226	375	341	504
NM_001183156.1	1	1	0	0	2	1	0	1	0	1	1	0
NM_001183158.1	249	325	179	316	306	174	260	259	225	346	313	430
NM_001183159.1	651	837	418	744	631	386	656	565	482	832	736	1087
NM_001183160.1	2430	3083	1518	3081	2737	1464	2257	1846	1626	3078	2614	3775
NM_001183161.1	958	1157	563	1517	1315	701	1099	869	853	1451	1369	1808
NM_001183163.1	187	206	131	269	238	137	279	178	177	323	307	451
NM_001183164.1	143	164	90	187	142	75	157	140	116	146	152	210
NM_001183165.2	7891	11182	4744	10728	9001	4880	8150	6930	6076	9902	7877	13613
NM_001183166.1	44	38	24	44	36	18	36	19	32	39	41	46
NM_001183167.1	217	252	183	308	285	165	274	194	183	314	237	402
NM_001183168.1	704	889	483	1077	977	551	1058	778	714	1219	1128	1611
NM_001183169.1	14	12	6	35	36	31	60	40	22	96	84	98
NM_001183170.1	7	9	8	19	25	13	24	30	21	57	59	68
NM_001183171.1	60	107	51	119	117	90	120	103	90	173	171	236
NM_001183172.1	53	42	11	48	39	15	31	27	32	33	37	54
NM_001183173.1	1	3	1	11	7	2	5	3	4	12	11	10
NM_001183174.1	212	340	142	397	327	150	304	226	217	385	420	563
NM_001183177.1	3	7	4	11	6	4	11	4	8	10	8	13
NM_001183178.1	1522	2070	940	3651	3242	1529	2669	2017	1834	4554	3934	5506
NM_001183179.3	4	10	0	4	11	5	12	6	6	15	9	9
NM_001183180.1	767	943	469	652	584	297	525	338	384	461	388	497
NM_001183181.1	43	80	38	60	58	22	52	52	30	57	52	60
NM_001183183.3	686	801	362	957	800	369	671	510	527	894	805	1125
NM_001183184.3	107	143	79	184	155	81	150	138	107	220	176	286
NM_001183185.1	825	1042	596	1027	963	559	943	702	619	1019	896	1321
NM_001183186.1	294	383	202	347	300	165	250	251	234	249	217	313
NM_001183187.3	182	230	118	241	256	96	141	129	118	219	188	282
NM_001183188.1	398	528	289	657	433	267	465	362	312	595	549	756
NM_001183189.1	549	655	352	728	660	305	610	483	468	814	755	992
NM_001183190.3	1761	1980	1179	1866	1787	935	1736	1475	1236	2022	1854	2576
NM_001183191.3	43	74	24	89	77	38	59	47	47	155	117	185
NM_001183192.1	423	562	289	573	599	301	448	413	421	770	599	924
NM_001183193.1	28265	36517	16666	34371	27848	16715	28874	20943	21825	30374	26547	39861
NM_001183194.3	1325	1386	737	1532	1370	768	1099	905	906	1472	1240	1717
NM_001183195.1	1174	1563	840	1681	1399	854	1246	947	949	1636	1295	1980
NM_001183196.1	1223	1572	798	2274	1842	1051	1770	1336	1152	2387	2044	2985
NM_001183197.3	186	201	110	250	214	136	182	151	177	235	224	288
NM_001183198.3	2933	3670	1964	3775	3173	1687	3089	2375	2057	3607	3203	4705
NM_001183199.1	328	391	232	448	414	228	340	266	245	428	356	487
NM_001183200.1	267	357	188	411	348	212	339	263	237	357	279	491
NM_001183201.3	183	240	139	262	218	134	166	132	112	209	194	272
NM_001183203.1	750	943	467	825	770	407	774	611	540	882	783	1075
NM_001183204.1	189	231	124	264	206	149	216	171	178	320	287	415
NM_001183205.3	399	602	319	411	386	210	316	259	241	299	259	381
NM_001183206.3	411	568	327	707	620	333	564	340	347	759	640	889
NM_001183207.1	1034	1259	803	1171	1071	649	1055	844	732	1039	921	1440
NM_001183208.1	567	711	390	813	701	366	605	447	476	738	637	992
NM_001183209.3	164	206	135	259	249	127	230	180	179	313	309	443
NM_001183210.1	648	871	532	1150	968	634	1199	878	824	1273	1162	1744
NM_001183211.3	339	413	215	540	475	229	355	283	290	561	500	693
NM_001183212.1	1912	2254	1219	2993	2697	1508	2428	1956	1749	3172	2699	3886
