name	wt_ribo_YPD1_cds_rpkm	wt_ribo_YPD2_cds_rpkm	wt_ribo_YPD3_cds_rpkm	ncs2d_ribo_YPD1_cds_rpkm	ncs2d_ribo_YPD2_cds_rpkm	ncs2d_ribo_YPD3_cds_rpkm	elp6d_ribo_YPD1_cds_rpkm	elp6d_ribo_YPD2_cds_rpkm	elp6d_ribo_YPD3_cds_rpkm	ncs2d_elp6d_ribo_YPD1_cds_rpkm	ncs2d_elp6d_ribo_YPD2_cds_rpkm	ncs2d_elp6d_ribo_YPD3_cds_rpkm
NM_001181854.1	30.07	42.72	30.4	35.29	36.48	14.1	23.7	18.94	32.94	33.71	25.32	66.06
NM_001181855.1	9.02	13.14	8.07	9.02	10.49	3.75	8.18	7.49	12.33	11.87	8.42	24.84
NM_001181856.1	14.35	26.3	14.64	17.23	19.84	6.75	12.41	11.5	19.66	18.19	13.36	34.51
NM_001181858.1	14.76	20.95	9.13	15.71	14.14	4.3	8.55	7.76	11.23	12.26	7.62	23.05
NM_001181859.1	137.7	218.33	147.1	394.82	385.89	133.88	250.81	224.81	360.42	627.15	472.5	1158.22
NM_001181860.1	15.78	28.84	14.51	20.91	18.19	7.2	14.85	12.52	21.64	20.6	13.91	44.43
NM_001181861.1	20.91	36.92	21.36	35.99	42.3	14.02	29.51	27.44	43.41	60.78	43.4	120.61
NM_001181862.1	1.2	1.68	1.21	0.61	1.4	0.42	0.78	0.7	1.45	0.95	0.8	1.5
NM_001181863.1	27.34	38.01	21.9	33.42	32.03	13.24	25.3	21.61	40.16	41.53	30.66	84.31
NM_001181865.1	3236.35	4748.84	2367.55	3047.34	3166.4	1085.15	2100.65	1816.52	3438.55	2771.53	1953.16	5338.82
NM_001181866.1	0.21	0.99	0.47	0.18	0.35	0.24	0.38	0.06	0.34	0.46	0.17	0.1
NM_001181868.1	33.06	55.89	31.27	37.91	33.96	13.05	25.25	22.33	34.34	28.32	21.24	65.78
NM_001181869.1	6.56	13.61	14.51	11.51	11.63	4.06	12.62	9.74	15.04	14.55	8.79	20.31
NM_001181870.1	964.35	1447.23	810.35	1133.78	1145.77	413.74	838.83	696.15	1194.58	1154.51	913.4	2280.67
NM_001181871.1	11.69	15.95	10.43	12.66	11.8	4.56	10.63	9.24	14.68	13.27	10.78	27.21
NM_001181872.1	5.85	3.86	2.52	1.55	1.55	0.23	0.35	0.19	0.72	0.11	0.44	0.17
NM_001181873.1	0.0	0.28	0.29	0.1	0.0	0.08	0.0	0.0	0.0	0.0	0.09	0.16
NM_001181874.2	2.47	4.5	2.39	3.5	3.02	1.23	2.92	2.5	3.76	4.46	2.78	7.54
NM_001181875.1	0.65	1.1	0.37	0.69	0.41	0.17	0.85	0.36	0.94	0.68	0.84	1.43
NM_001181876.1	1.82	4.42	1.9	1.03	1.53	0.29	1.29	0.47	1.52	1.51	0.66	2.03
NM_001181877.1	0.13	1.01	0.35	0.61	0.3	0.03	0.71	0.19	0.49	0.45	0.56	2.22
NM_001181878.1	10.54	17.9	9.4	11.26	10.11	3.85	8.33	6.21	11.27	9.41	6.68	18.74
NM_001181880.1	2.66	2.78	1.99	4.08	4.88	3.71	5.43	3.84	8.73	20.88	14.14	24.66
NM_001181881.1	14.09	20.64	10.57	14.19	12.49	6.88	10.43	8.61	14.74	17.23	12.49	33.49
NM_001181882.1	7.45	13.32	8.12	8.3	6.2	2.39	6.13	5.46	8.54	8.49	6.75	16.76
NM_001181883.1	2.77	3.98	2.55	3.06	3.41	1.22	2.55	2.5	4.67	4.65	3.04	9.23
NM_001181884.1	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.4
NM_001181886.1	0.05	0.02	0.0	0.03	0.03	0.0	0.02	0.0	0.02	0.06	0.01	0.05
NM_001181887.1	0.05	0.02	0.0	0.03	0.03	0.01	0.02	0.0	0.02	0.06	0.01	0.07
NM_001181888.1	8.83	14.53	7.66	8.57	9.31	3.22	6.27	5.16	8.84	8.9	6.28	19.59
NM_001181889.1	36.6	62.93	31.57	34.27	34.59	12.49	23.99	20.47	36.43	27.88	19.66	54.61
NM_001181890.1	44.11	76.58	44.39	33.95	33.2	13.36	24.89	19.16	34.38	33.53	24.22	67.0
NM_001181891.1	0.55	1.43	0.88	1.24	0.9	0.36	1.03	0.61	1.4	1.44	1.85	3.53
NM_001181892.1	17.62	28.14	15.81	22.39	21.02	8.32	18.03	14.11	22.7	26.97	19.79	52.21
NM_001181893.1	5.99	9.68	5.44	8.75	7.78	3.24	6.31	5.27	9.04	11.11	7.58	21.75
NM_001181894.1	6.57	12.6	6.64	8.66	8.36	3.12	6.54	4.39	9.02	10.4	7.32	17.78
NM_001181895.1	62.41	93.75	59.26	75.11	69.99	27.18	52.9	44.12	72.51	78.97	60.02	155.24
NM_001181896.1	131.09	216.87	115.01	146.92	147.8	53.19	82.08	78.66	126.52	130.82	100.26	247.49
NM_001181897.1	2.38	2.95	2.23	3.09	3.32	1.01	3.16	2.01	3.53	3.55	2.08	6.23
NM_001181898.1	7.78	14.45	9.4	5.66	9.12	2.91	5.89	5.37	8.46	8.93	6.8	14.11
NM_001181899.1	0.0	0.2	0.0	0.0	0.16	0.0	0.12	0.0	0.25	0.6	0.25	1.65
NM_001181900.1	0.0	0.15	0.0	0.0	0.12	0.0	0.0	0.1	0.19	0.11	0.0	0.0
NM_001181901.1	2.01	3.57	2.07	2.61	2.39	1.06	2.32	1.93	2.89	3.01	2.44	6.65
NM_001181902.1	7.88	13.82	8.3	11.32	9.17	4.78	7.09	6.06	9.3	11.61	8.63	20.22
NM_001181903.1	10.75	18.58	7.74	13.01	17.01	5.07	10.05	8.88	16.61	16.43	13.09	38.49
NM_001181904.1	93.71	145.22	91.68	117.62	131.44	57.18	89.72	79.84	138.78	157.89	116.38	296.85
NM_001181905.1	25.49	41.32	24.04	27.04	31.72	11.3	18.81	18.78	30.58	27.62	18.22	53.43
NM_001181906.1	22.16	33.67	17.68	34.75	34.16	11.16	21.04	18.92	30.75	42.88	29.44	81.53
NM_001181907.1	11.84	19.52	11.37	13.83	14.3	5.74	10.98	10.52	15.55	16.58	11.75	34.17
NM_001181908.1	21.75	29.41	16.52	30.51	31.15	10.81	20.7	16.6	27.2	31.24	25.69	65.87
NM_001181909.1	53.9	82.87	49.8	68.77	63.56	23.36	41.98	37.72	63.92	63.05	44.08	113.68
NM_001181910.1	10.17	19.82	9.84	14.44	14.97	5.13	11.17	9.46	14.76	15.86	10.76	28.11
NM_001181911.2	3.03	4.94	3.27	4.19	4.61	1.88	3.42	2.76	4.75	5.27	3.63	10.94
NM_001181912.1	54.17	93.41	49.39	75.06	72.46	27.16	44.15	39.16	59.84	81.33	53.65	143.54
NM_001181913.1	33.56	54.2	30.26	35.72	40.33	15.79	23.99	23.37	34.85	43.47	28.55	69.79
NM_001181914.1	289.82	425.21	257.04	392.64	388.41	160.62	325.77	286.21	511.89	514.79	378.15	1032.07
NM_001181915.1	83.65	130.27	73.29	96.3	92.37	38.46	69.23	61.52	113.06	98.23	73.97	197.44
NM_001181916.1	4599.11	6843.54	3453.91	4542.84	4635.01	1522.49	2861.93	2579.66	4643.54	3764.37	2699.98	7238.73
NM_001181917.1	0.92	0.86	0.44	1.27	0.59	0.42	0.72	0.47	0.75	0.75	0.9	2.19
NM_001181918.1	0.09	0.12	0.12	0.32	0.0	0.06	0.07	0.24	0.15	0.17	0.29	0.82
NM_001181919.1	7.31	11.97	6.3	9.63	9.44	3.39	6.12	5.05	9.24	9.83	7.75	21.1
NM_001181920.1	20.69	31.37	20.6	19.0	18.08	6.87	13.78	11.87	19.52	18.2	12.96	35.22
NM_001181921.2	70.76	101.21	57.91	64.83	65.52	26.74	49.51	44.09	71.66	61.01	47.9	127.52
NM_001181922.1	1.96	2.51	1.9	2.07	2.52	0.9	1.93	1.66	2.72	2.67	2.08	6.62
NM_001181923.1	13.73	25.07	13.97	15.05	20.44	7.66	14.09	12.38	19.13	22.08	17.57	47.73
NM_001181924.1	1.16	0.84	0.87	1.47	0.78	0.81	1.52	0.8	0.84	2.46	2.07	3.5
NM_001181925.1	89.79	137.89	64.04	135.7	134.59	38.43	85.12	73.04	117.75	159.83	112.54	279.67
NM_001181926.1	8.58	12.93	7.87	10.08	10.68	3.84	8.42	6.7	11.26	10.86	8.3	21.22
NM_001181927.1	11.4	23.51	11.84	6.45	7.12	3.48	5.27	4.38	7.69	4.52	3.62	12.21
NM_001181929.1	20.19	33.39	17.47	15.91	20.31	7.27	9.92	9.71	18.2	10.4	8.92	25.73
NM_001181930.1	656.77	953.02	563.75	682.5	729.17	280.16	507.18	421.08	807.48	714.73	525.38	1396.02
NM_001181931.1	13336.33	19805.39	11672.59	12588.46	13011.62	5324.39	9993.87	8677.93	16578.87	12309.06	9137.55	25920.16
NM_001181932.1	12.6	21.2	10.96	15.4	14.02	5.69	9.19	8.61	14.54	15.05	10.93	30.85
NM_001181933.1	0.26	0.25	0.17	0.34	0.06	0.05	0.25	0.06	0.42	0.12	0.0	0.68
NM_001181934.1	4.99	6.46	3.75	5.26	4.72	1.82	3.24	3.62	5.67	3.79	3.36	8.18
NM_001181935.1	2530.81	3726.0	2135.46	2371.97	2432.46	999.77	1691.61	1527.7	2772.09	2320.4	1650.96	4815.71
NM_001181936.1	23.85	41.68	22.87	31.65	32.05	11.24	19.68	15.3	29.64	29.15	20.71	54.6
NM_001181937.1	30.09	46.21	26.89	26.48	29.28	10.3	23.79	21.14	31.89	28.64	18.82	49.76
NM_001181938.1	46.64	77.41	38.69	69.32	62.28	21.8	34.48	26.43	49.67	58.81	41.48	106.92
NM_001181939.1	25.05	36.23	19.08	32.17	30.53	10.06	18.69	17.0	29.72	36.37	23.9	57.05
NM_001181940.1	0.0	0.0	0.0	0.13	0.0	0.0	0.11	0.13	0.0	0.28	0.23	0.22
NM_001181941.1	0.35	0.55	0.37	0.64	0.5	0.25	0.45	0.33	0.69	0.93	0.79	1.74
NM_001181942.1	15.29	25.63	12.84	20.01	17.44	8.46	11.64	10.79	21.56	21.72	15.12	42.43
NM_001181943.1	281.86	431.96	261.62	306.61	312.3	108.43	263.1	237.47	395.12	333.58	258.3	684.61
NM_001181944.1	7.85	12.96	6.99	7.77	7.63	3.58	6.78	5.54	9.15	9.21	7.05	18.42
NM_001181945.1	551.23	737.9	310.09	578.2	628.01	182.85	287.34	250.45	436.35	424.05	319.08	851.76
NM_001181946.1	34.72	53.89	32.36	26.6	35.13	13.96	26.48	24.43	42.65	42.73	25.7	68.88
NM_001181947.1	255.25	393.9	220.08	310.63	305.07	117.9	225.14	195.93	354.39	333.08	234.66	650.01
NM_001181948.1	3703.09	5307.22	2823.87	3162.84	3393.77	1229.04	2169.37	1933.74	3832.72	2815.49	2067.07	5587.09
NM_001181950.1	14.82	23.11	16.6	15.77	16.67	6.28	12.59	10.22	18.82	16.93	11.25	30.7
NM_001181951.1	33.55	58.78	33.21	44.31	41.55	15.42	29.06	29.54	41.76	45.79	28.93	82.81
NM_001181952.1	54.4	90.61	45.33	49.27	52.94	18.23	33.36	28.77	45.28	36.77	24.1	74.16
NM_001181953.1	51.04	88.69	54.27	75.59	67.64	23.97	53.92	45.83	67.74	73.77	58.34	145.6
NM_001181954.1	2.17	3.28	2.79	2.89	2.47	0.93	2.37	1.94	2.93	3.04	1.89	5.84
NM_001181955.1	22.57	41.26	21.27	39.02	34.69	13.64	14.08	14.21	19.43	36.12	26.82	56.1
NM_001181956.1	16.88	25.92	16.07	17.42	16.87	6.6	13.44	10.6	19.82	17.99	12.39	33.15
NM_001181957.1	1.99	1.74	1.27	2.53	1.69	1.04	1.79	1.27	1.93	2.94	2.47	7.93
NM_001181958.1	13.16	20.6	11.05	16.46	16.45	6.06	10.47	9.64	16.53	17.27	11.86	37.85
NM_001181959.1	8.96	15.32	8.23	11.73	12.4	4.59	7.55	6.57	10.77	13.68	9.22	28.13
NM_001181960.1	24.27	34.42	22.26	24.93	27.25	10.38	18.67	13.45	26.68	19.87	17.34	40.72
NM_001181961.1	83.63	128.42	71.63	117.43	113.88	44.85	66.81	59.16	114.73	126.79	91.43	226.75
NM_001181962.1	5368.29	8061.69	4362.88	5741.72	6153.65	2182.73	3910.22	3362.94	6152.04	5851.4	4209.11	11015.59
NM_001181964.1	9.56	14.89	8.31	10.32	9.75	3.62	7.24	5.66	10.82	9.19	6.87	18.22
NM_001181965.1	30.07	55.77	28.75	46.0	44.89	14.69	23.65	22.0	35.66	46.82	31.58	80.27
NM_001181966.1	36.27	56.82	30.85	49.83	44.66	17.31	29.79	26.69	46.33	56.14	39.7	107.3
NM_001181967.1	2.14	4.76	2.98	3.08	2.91	0.93	2.24	1.78	2.35	3.99	2.84	6.86
NM_001181968.1	1.42	1.59	1.14	1.02	1.01	0.46	1.31	0.8	1.74	0.84	0.78	1.42
NM_001181969.1	6.49	13.3	7.51	10.28	11.99	4.35	6.04	4.68	7.06	10.07	7.79	17.49
NM_001181970.1	83.02	140.01	76.34	91.21	92.18	35.24	69.54	59.04	104.24	84.62	62.89	175.17
NM_001181971.1	16.52	32.16	13.95	19.14	16.96	6.56	11.27	9.98	18.19	14.98	10.46	30.96
NM_001181972.1	9.8	14.62	10.06	10.07	10.75	3.74	6.94	6.3	11.39	10.77	6.32	19.42
NM_001181973.1	8.63	13.65	6.87	10.48	8.58	3.45	5.8	4.69	7.58	8.52	6.25	17.15
NM_001181974.1	1.39	2.47	1.56	1.98	1.69	0.62	1.34	1.06	1.64	1.71	1.24	3.84
NM_001181975.1	26.05	46.7	25.15	32.61	32.47	12.51	23.95	20.57	33.26	30.93	26.0	68.46
NM_001181976.1	48.52	74.5	43.66	61.93	62.84	23.86	47.75	41.91	69.5	71.91	48.14	130.15
NM_001181977.1	12.19	17.98	11.51	18.88	18.96	7.92	10.95	10.32	18.42	19.56	13.58	38.14
NM_001181978.1	4.78	7.04	4.98	4.24	4.24	1.92	3.6	4.1	6.77	6.08	3.92	11.05
NM_001181979.1	1.31	0.9	0.58	0.7	0.6	0.34	1.03	0.78	0.86	0.94	0.62	1.91
NM_001181980.1	44.89	76.82	40.88	58.95	65.12	20.42	42.7	34.83	61.11	65.09	49.41	122.63
NM_001181981.1	21.41	36.3	18.76	23.84	25.58	9.6	15.8	14.52	29.17	25.57	17.12	49.63
NM_001181982.1	12.49	21.62	13.6	14.49	14.03	5.79	9.62	8.01	13.97	14.1	9.34	27.81
NM_001181983.1	13.05	21.04	10.84	13.89	14.22	5.76	7.82	7.24	12.8	12.34	8.34	24.76
NM_001181984.1	5.91	11.05	5.39	8.47	7.66	3.88	6.8	5.16	8.08	9.0	7.7	20.48
NM_001181985.1	3.98	6.29	3.51	4.16	4.21	1.78	2.98	2.74	5.22	4.4	3.1	8.77
NM_001181986.1	8.09	11.3	7.6	8.09	7.64	3.73	7.29	6.53	9.81	8.95	7.2	19.71
NM_001181987.1	101.86	161.88	100.22	109.73	111.71	42.7	90.67	77.72	131.87	108.77	86.47	217.87
NM_001181989.1	9.05	16.91	8.56	12.42	11.48	4.12	9.65	6.87	15.51	14.23	11.35	29.59
NM_001181990.1	4.81	9.96	4.93	6.91	7.05	2.46	4.22	3.67	6.97	7.21	4.61	13.92
NM_001181991.1	32.08	52.45	33.03	38.63	36.29	17.5	28.68	23.03	37.39	44.52	31.53	95.21
NM_001181992.1	5.14	10.32	5.39	5.21	5.52	2.07	4.5	4.4	5.96	5.52	4.45	13.33
NM_001181993.1	15.55	23.6	15.07	17.52	15.97	6.18	15.89	14.54	22.8	22.61	14.28	43.46
NM_001181994.1	8.96	14.41	9.68	14.17	14.3	5.06	9.71	7.34	12.08	16.64	12.27	28.48
NM_001181995.1	15.38	22.72	11.82	17.75	18.58	7.1	17.76	13.8	23.66	18.63	13.75	34.85
NM_001181996.1	4825.12	7495.32	4391.23	5275.37	5140.93	2121.9	3190.68	2877.16	5105.62	4566.22	3306.52	9095.46
NM_001181997.1	12764.99	18564.42	11366.9	10582.36	12227.32	5499.64	10247.08	9472.1	18588.1	16543.51	11619.61	32812.69
NM_001182000.1	50.91	84.0	45.42	65.54	63.82	26.73	53.44	43.96	76.7	81.2	58.35	156.83
NM_001182001.1	16.03	25.02	14.17	19.59	17.97	7.24	14.21	10.58	18.81	16.78	12.48	34.93
NM_001182002.1	8.69	15.05	7.6	9.79	10.38	3.78	7.89	6.51	11.74	10.89	8.01	20.9
NM_001182003.1	13.66	23.52	13.3	14.69	14.69	6.33	9.36	8.41	16.02	15.99	10.13	28.44
NM_001182004.1	7.5	13.66	7.8	10.5	11.02	4.39	7.8	5.81	10.0	12.13	8.68	21.32
NM_001182005.1	43.78	71.06	44.25	49.61	46.3	19.66	30.84	27.57	42.15	43.55	33.44	84.41
NM_001182006.1	14.18	20.98	14.77	15.96	17.96	6.1	9.16	8.82	15.58	17.55	10.85	33.15
NM_001182007.1	36.01	54.96	28.26	43.07	42.04	16.1	27.15	24.6	42.8	39.85	30.28	83.77
NM_001182008.1	6.84	10.75	4.82	7.0	8.37	3.72	6.83	6.68	12.87	14.55	10.14	28.8
NM_001182012.1	0.48	0.62	0.48	0.94	0.48	0.42	1.4	0.74	1.16	1.02	2.11	4.13
NM_001182013.1	28.68	39.68	27.92	22.07	23.45	9.49	18.08	15.84	25.36	19.95	13.86	41.9
NM_001182014.1	3.0	4.51	2.63	3.33	2.43	1.11	2.54	2.32	3.41	4.25	2.41	6.88
NM_001182015.1	7.31	11.99	6.61	8.28	9.58	2.35	7.64	6.61	11.63	12.44	7.82	21.6
NM_001182016.1	37.93	58.77	36.58	45.73	44.47	18.54	34.43	26.88	49.93	44.63	32.62	88.91
NM_001182017.1	13.93	26.56	11.67	14.52	15.92	5.62	8.68	7.49	15.16	10.28	7.9	20.12
NM_001182018.1	11.26	17.95	8.58	11.85	10.65	4.59	8.33	6.6	11.29	14.36	9.12	26.14
NM_001182019.1	4.76	9.69	4.7	6.24	5.37	2.23	3.73	4.46	6.55	7.81	4.88	17.14
NM_001182020.1	17.29	29.26	16.94	23.46	24.58	9.32	19.45	14.79	25.9	29.87	21.95	57.31
NM_001182021.1	565.28	766.63	473.45	480.88	508.74	208.21	425.0	390.51	756.16	495.17	374.2	1125.28
NM_001182022.1	2.27	4.77	2.0	4.19	3.37	1.33	2.37	2.38	4.03	3.85	2.6	7.59
NM_001182023.1	71.27	90.79	50.7	84.07	67.2	24.45	44.14	39.56	66.73	72.99	57.15	143.27
NM_001182024.1	6.09	8.9	5.4	6.57	7.79	3.17	5.07	5.23	11.51	11.18	7.2	18.69
NM_001182025.1	12.0	20.03	11.56	12.93	11.04	4.88	7.95	6.78	10.03	10.33	7.98	21.09
NM_001182026.1	5.96	10.32	6.08	6.27	6.67	2.61	5.09	4.15	8.15	7.61	4.62	13.89
NM_001182028.1	4.0	6.46	3.22	4.63	4.06	1.47	2.71	2.02	4.12	4.7	3.44	9.4
NM_001182029.1	1.51	2.54	1.98	2.12	2.79	1.27	2.01	2.46	3.3	5.6	3.96	9.25
NM_001182030.1	11.13	17.87	12.15	16.4	15.44	6.13	10.83	7.95	15.88	14.57	10.58	27.53
NM_001182031.1	12.68	21.24	10.5	16.24	15.29	6.5	12.17	10.01	16.6	17.18	12.83	35.79
NM_001182032.1	8.19	14.01	6.93	11.71	10.4	3.66	6.81	6.55	8.9	10.78	7.65	20.59
NM_001182033.1	17.23	32.79	21.85	23.98	25.89	9.63	17.97	13.27	27.07	31.48	21.72	62.22
NM_001182034.1	31.82	54.79	29.16	47.32	47.98	19.12	29.84	26.66	39.11	59.85	41.63	106.37
NM_001182035.1	11.72	18.4	10.99	15.4	13.33	5.09	9.61	7.49	13.92	12.64	9.2	27.61
NM_001182036.1	0.87	1.68	0.74	1.95	1.7	0.45	1.19	1.21	1.54	3.8	2.66	6.5
NM_001182037.1	2331.99	3398.18	1663.12	2289.09	2424.77	798.03	1378.64	1220.03	2272.79	1951.83	1385.4	3642.18
NM_001182038.1	3.74	6.19	3.98	5.38	5.82	2.0	3.86	3.98	8.42	10.73	7.82	16.49
NM_001182039.1	1.13	2.48	1.39	1.98	1.41	0.72	1.3	1.63	2.04	2.99	2.11	5.62
NM_001182040.1	235.68	373.67	202.43	222.74	218.89	83.34	167.72	140.01	273.71	224.85	160.41	456.19
NM_001182041.1	38.36	56.03	28.12	36.79	36.24	11.4	27.01	23.57	42.45	36.93	27.07	66.33
NM_001182042.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NM_001182043.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NM_001182044.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NM_001182045.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NM_001182046.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NM_001182047.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NM_001182048.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NM_001182049.1	0.13	0.52	0.36	0.12	0.13	0.47	0.11	0.0	0.22	0.77	0.11	0.41
NM_001182050.1	28.46	48.41	29.56	32.8	30.22	12.75	22.61	19.38	32.34	28.17	20.13	52.45
NM_001182051.1	0.99	0.51	0.8	1.39	1.19	0.14	1.01	0.61	1.29	0.94	1.11	3.28
NM_001182052.1	1.77	5.13	3.12	3.77	2.59	1.33	2.35	1.92	2.76	3.31	2.24	7.9
NM_001182053.1	11.33	18.91	10.44	14.2	11.82	4.61	11.31	8.98	14.58	14.67	10.24	28.15
NM_001182054.1	6405.86	9324.71	4632.8	5951.02	6256.49	2036.09	3782.15	3341.49	6232.68	4577.79	3378.23	8549.92
NM_001182055.1	6.42	12.59	6.83	7.01	9.87	2.87	7.02	6.18	10.29	10.67	8.08	25.51
NM_001182057.1	39.73	61.38	37.63	57.52	52.37	18.81	32.43	30.97	58.72	57.09	40.07	99.46
NM_001182059.1	117.3	178.32	107.04	136.15	140.28	57.15	103.26	89.51	162.73	166.8	119.26	302.51
NM_001182060.1	4.92	7.73	3.97	4.47	4.56	1.88	3.13	3.78	4.78	4.43	3.27	11.26
NM_001182061.1	0.04	0.0	0.06	0.11	0.09	0.03	0.07	0.08	0.07	0.12	0.17	0.39
NM_001182062.1	298.99	470.59	272.8	286.62	279.46	112.92	202.46	164.7	304.06	241.31	179.34	477.58
NM_001182063.1	5.81	10.05	5.18	6.31	6.86	2.39	4.62	4.29	7.12	7.17	3.88	12.21
NM_001182064.1	2.08	3.22	1.9	4.08	3.24	1.35	2.4	2.29	3.84	6.33	3.7	10.87
NM_001182065.1	12.74	18.03	9.25	17.2	17.59	7.04	9.3	8.26	13.55	34.15	23.54	57.36
NM_001182066.1	358.31	586.84	310.23	281.49	295.05	118.82	186.02	160.59	288.68	267.0	181.72	476.17
NM_001182067.1	564.46	827.0	394.12	475.63	490.9	183.49	348.32	301.12	608.06	453.52	312.98	894.86
NM_001182068.1	18.0	29.36	18.47	20.53	21.49	8.36	13.76	12.56	21.9	20.8	13.61	38.58
NM_001182069.1	14.68	24.28	11.57	16.23	14.8	6.08	11.26	9.42	17.3	16.51	12.16	34.41
NM_001182070.1	24.93	44.18	20.68	31.87	31.6	11.33	22.45	17.52	31.82	32.84	22.54	64.55
NM_001182072.1	3354.51	5031.97	2425.07	3222.79	3409.62	1078.76	2062.24	1825.8	3282.73	2737.2	1941.36	4944.8
NM_001182073.1	89.02	139.51	75.31	91.52	98.01	40.32	73.83	65.69	111.09	106.66	75.01	195.0
NM_001182074.1	12.88	22.56	12.34	18.41	16.43	6.81	10.26	9.95	15.76	18.55	13.04	36.4
NM_001182075.1	12.7	20.2	12.19	15.6	15.09	5.98	12.04	10.77	17.15	20.0	13.66	36.96
NM_001182076.1	5.15	7.98	3.91	5.99	6.36	2.27	3.73	3.39	5.58	5.24	3.61	9.74
NM_001182077.1	29.19	43.29	20.65	29.33	26.79	11.65	19.7	17.13	29.85	29.61	19.6	53.12
NM_001182078.1	11.61	16.96	10.97	14.43	13.41	5.18	11.58	8.84	14.63	16.19	11.33	27.45
NM_001182079.1	259.25	419.32	202.88	299.19	264.32	100.62	151.73	132.62	245.02	260.25	187.49	495.48
NM_001182080.1	22.48	41.05	20.59	28.28	31.21	11.03	22.47	19.38	34.73	38.17	31.43	78.16
NM_001182081.1	37.84	64.61	29.63	60.65	62.16	25.88	38.22	32.73	54.15	67.65	51.36	126.59
NM_001182082.1	52.12	87.37	48.92	81.24	77.14	32.24	58.35	52.21	90.27	101.61	69.25	194.46
NM_001182083.1	92.0	143.15	76.19	101.37	89.73	36.17	62.78	51.59	93.0	82.03	60.25	174.85
NM_001182084.1	386.22	620.7	335.07	394.62	413.67	146.97	287.93	233.6	447.71	382.96	280.95	751.93
NM_001182086.1	31.95	55.49	29.22	45.47	48.26	18.09	30.65	26.74	45.53	60.53	43.35	109.62
NM_001182087.1	68.62	125.49	65.4	118.31	108.96	35.14	53.72	53.45	87.34	103.02	77.57	184.73
NM_001182088.1	23.56	39.1	22.09	33.42	34.12	11.29	27.48	21.92	35.69	44.35	29.51	83.23
NM_001182090.1	29.91	47.07	29.48	27.46	29.35	12.99	23.64	21.32	40.43	33.21	24.85	68.52
NM_001182091.1	38.78	54.69	40.9	46.48	35.68	18.27	23.13	22.14	43.97	37.6	30.16	76.3
NM_001182092.1	8.82	12.01	6.12	15.91	14.65	5.04	8.08	7.33	12.14	14.26	13.74	29.96
NM_001182093.1	34.75	57.7	31.39	31.21	31.64	14.14	18.39	17.16	31.49	33.14	22.7	66.97
NM_001182094.1	13.02	21.69	12.85	16.49	16.32	6.49	10.09	8.22	15.66	15.07	11.91	29.86
NM_001182095.1	183.15	268.97	160.01	225.32	219.19	86.62	159.68	142.28	246.16	263.93	183.65	500.09
NM_001182096.1	34.45	51.25	30.77	44.54	43.35	18.67	35.37	30.39	53.91	67.06	47.2	125.25
NM_001182097.1	10.21	13.69	7.97	11.18	10.92	4.06	7.36	6.8	11.88	11.73	8.96	20.82
NM_001182098.1	4.86	7.68	2.96	6.46	6.08	2.39	4.28	3.41	5.91	4.92	5.05	13.82
NM_001182099.1	16.47	23.96	14.81	20.64	20.81	9.31	16.26	14.37	24.79	27.9	21.29	58.42
NM_001182100.1	2.03	3.18	1.42	2.56	2.84	1.12	1.96	2.42	3.43	4.31	3.15	9.23
NM_001182101.1	196.67	303.74	163.03	228.47	212.23	69.91	177.01	155.67	257.46	176.54	156.62	370.78
NM_001182102.1	9.4	16.08	10.4	12.35	13.74	5.5	11.06	7.54	15.63	19.31	12.97	29.77
NM_001182103.1	285.1	472.23	284.32	414.79	408.28	138.73	238.25	200.93	359.93	405.49	302.37	786.69
NM_001182105.1	11.73	17.34	10.77	13.08	12.07	6.67	8.93	8.79	13.68	13.26	10.72	27.55
NM_001182106.1	12.14	20.05	10.78	13.79	16.53	5.91	9.04	7.85	16.15	18.04	12.5	34.24
NM_001182107.1	31.22	51.73	26.04	43.69	46.11	17.88	32.48	29.08	43.94	61.16	42.36	114.82
NM_001182108.1	64.89	104.28	56.42	99.58	93.03	32.03	53.3	41.25	79.82	92.31	66.77	160.84
NM_001182109.1	42.38	65.23	39.29	54.69	55.17	21.64	40.55	35.53	60.41	60.83	44.82	114.97
NM_001182110.1	8.77	16.33	9.69	12.86	10.96	4.91	8.03	6.43	13.0	11.06	8.46	21.45
NM_001182111.1	5.82	7.54	6.47	8.39	7.55	3.23	6.62	5.46	9.66	10.71	9.52	19.24
NM_001182112.1	23.79	36.74	24.46	49.08	45.85	17.3	31.97	27.51	42.17	72.58	50.2	129.19
