name	wt_ribo_YPD1_cds_rpkm	wt_ribo_YPD2_cds_rpkm	wt_ribo_YPD3_cds_rpkm	ncs2d_ribo_YPD1_cds_rpkm	ncs2d_ribo_YPD2_cds_rpkm	ncs2d_ribo_YPD3_cds_rpkm	elp6d_ribo_YPD1_cds_rpkm	elp6d_ribo_YPD2_cds_rpkm	elp6d_ribo_YPD3_cds_rpkm	ncs2d_elp6d_ribo_YPD1_cds_rpkm	ncs2d_elp6d_ribo_YPD2_cds_rpkm	ncs2d_elp6d_ribo_YPD3_cds_rpkm
NM_001180333.3	3303.6	4882.86	2525.45	2928.2	3087.23	1136.6	1906.6	1781.33	3292.19	2709.14	1810.02	5050.36
NM_001180334.3	6.89	13.12	5.93	11.19	8.73	3.7	6.66	5.92	11.21	11.06	8.14	19.81
NM_001180335.1	6.84	11.86	5.96	9.09	9.24	2.88	5.78	4.83	8.45	7.55	5.99	17.14
NM_001180336.1	28.23	49.01	20.5	43.12	35.04	15.73	21.59	20.09	36.44	43.18	30.88	91.15
NM_001180338.3	1.67	2.81	2.15	2.25	2.88	1.02	2.34	1.75	3.23	3.73	2.54	6.37
NM_001180339.3	16.9	24.65	13.86	19.23	18.63	4.43	10.44	11.16	12.41	18.23	10.69	31.79
NM_001180340.1	174.76	276.8	166.11	227.58	247.25	97.65	180.12	163.77	277.51	298.62	230.86	595.02
NM_001180341.1	830.96	1369.75	716.28	523.23	547.36	175.81	324.56	279.36	451.45	115.66	98.74	259.53
NM_001180342.3	10.68	15.67	8.65	13.04	12.31	4.83	8.83	7.7	13.08	12.53	9.76	21.78
NM_001180343.3	95.73	149.32	92.46	143.03	138.01	59.35	126.11	108.37	176.42	191.64	134.26	360.47
NM_001180344.1	26.09	41.1	25.76	31.13	32.38	12.85	24.43	21.77	37.74	35.98	25.61	68.23
NM_001180345.1	554.86	855.51	464.23	680.94	698.87	250.72	497.06	419.62	767.34	723.2	521.32	1364.67
NM_001180346.3	39.14	67.93	38.16	49.91	45.35	18.78	34.61	28.91	52.6	61.99	50.99	138.34
NM_001180347.3	40.54	69.81	39.11	50.96	46.74	19.34	35.41	29.76	53.75	64.25	52.47	142.99
