transcript_id	SRR1944912.isoforms.results	SRR1944913.isoforms.results	SRR1944914.isoforms.results	SRR1944915.isoforms.results	SRR1944916.isoforms.results	SRR1944917.isoforms.results
NM_001178486.2	205.0	277.0	160.0	331.0	258.0	134.0
NM_001178487.3	1032.0	1396.0	837.0	1474.0	1323.0	869.0
NM_001178488.3	887.0	1070.0	654.0	1082.0	854.0	575.0
NM_001178489.2	237.0	269.0	173.0	423.0	369.0	203.0
NM_001178490.1	1370.0	1729.0	966.0	1820.0	1691.0	979.0
NM_001178491.3	7366.0	9433.0	4634.0	10639.0	8897.0	4423.0
NM_001348890.1	0.0	1.0	2.0	2.0	0.0	1.0
NM_001178493.3	145.0	156.0	95.0	233.02	180.0	92.0
NM_001178494.1	612.0	762.0	436.0	726.0	655.0	359.0
NM_001178495.1	12.0	21.0	2.0	15.0	15.0	5.0
NM_001178496.3	15.0	51.0	20.0	30.0	33.0	14.0
NM_001178497.3	2471.0	3126.0	1597.0	3448.0	2890.0	1697.0
NM_001178498.1	213.66	293.19	134.08	279.32	233.27	131.68
NM_001178499.1	1432.0	2077.0	991.0	2011.0	1777.0	874.0
NM_001178500.3	125.0	180.0	82.0	170.0	117.0	96.0
NM_001178501.3	135.0	137.0	103.0	199.0	205.0	104.0
NM_001178502.1	2462.0	3267.0	1887.0	3142.0	2736.0	1487.0
NM_001178503.1	1115.0	1391.0	710.0	1433.0	1190.0	653.0
NM_001178504.3	203.0	284.0	151.0	331.0	271.0	151.0
NM_001178505.3	189.0	288.0	140.0	237.0	216.0	89.0
NM_001178506.1	1262.0	1633.0	893.0	1719.0	1645.0	831.0
NM_001178507.1	2075.0	2748.0	1593.0	2559.0	2229.0	1339.0
NM_001178508.3	768.0	915.0	537.0	1035.0	844.0	465.0
NM_001178509.3	232.0	347.0	147.0	275.0	244.0	141.0
NM_001178510.1	10356.0	12389.0	6950.0	9541.0	9014.0	4653.0
NM_001180059.1	1309.0	1576.0	906.0	2016.0	1767.0	965.0
NM_001178511.3	106.0	128.0	62.0	125.0	121.0	52.0
NM_001178512.3	1248.0	1650.0	914.0	2080.0	1844.0	1021.0
NM_001178513.1	202.0	320.0	185.0	352.0	289.0	173.0
NM_001178514.1	798.0	1090.0	573.0	1083.0	908.0	561.0
NM_001178515.3	139.0	163.0	124.0	196.0	167.0	87.0
NM_001178516.3	101.0	103.0	84.0	128.0	110.0	69.0
NM_001178517.1	503.0	635.0	370.62	408.0	369.85	186.0
NM_001178518.1	970.0	1136.0	707.0	1526.0	1321.0	755.0
NM_001178519.3	1168.0	1620.0	826.0	2002.0	1769.0	985.0
NM_001178520.3	1044.0	1296.0	653.0	1541.0	1151.0	712.0
NM_001178521.1	1474.0	1642.0	915.0	1710.0	1566.0	906.0
NM_001178523.1	244.0	302.0	169.0	476.0	392.0	206.0
NM_001178524.3	395.0	452.0	249.0	497.0	449.0	225.0
NM_001178525.3	1238.0	1588.0	876.0	2470.0	2291.0	1152.0
NM_001178527.1	406.0	542.0	305.0	524.0	421.0	259.0
NM_001178528.1	19.0	23.0	11.0	12.0	13.0	10.0
NM_001178529.3	42324.23	46654.16	25955.07	44799.74	40889.3	24240.87
