gene_id	SRR1944912.genes.results	SRR1944913.genes.results	SRR1944914.genes.results	SRR1944915.genes.results	SRR1944916.genes.results	SRR1944917.genes.results
YNL189W	207.5	213.72	214.86	232.9	225.4	228.19
YNL190W	707.18	726.49	663.46	602.91	665.44	553.3
YNL191W	19.58	21.16	24.11	20.04	26.98	24.58
YNL192W	24.68	28.28	24.04	31.38	27.06	29.15
YNL193W	12.38	13.81	15.71	11.96	12.73	13.75
YNL194C	0.39	0.17	0.1	0.43	0.3	0.33
YNL195C	2.79	2.46	3.05	5.04	4.83	4.5
YNL196C	0.13	0.17	0.21	0.05	0.3	0.44
YNL197C	36.74	39.43	37.77	37.51	36.14	34.41
YNL199C	20.09	19.75	20.85	22.55	21.08	22.27
YNL200C	13.1	12.43	14.53	14.44	15.04	18.13
YNL201C	15.91	15.77	16.83	15.9	15.51	14.79
YNL202W	3.18	3.57	2.32	3.37	3.78	4.04
YNL204C	0.07	0.22	0.0	0.27	0.06	0.11
YNL206C	19.26	22.46	21.99	23.04	21.79	23.93
YNL207W	59.11	57.79	65.09	65.81	66.5	68.09
YNL208W	384.91	365.58	413.48	395.4	376.73	421.05
YNL209W	2327.19	2281.32	2037.09	1937.78	1917.15	1944.59
YNL210W	1.61	1.71	2.27	1.9	2.14	1.94
YNL211C	6.97	11.14	11.84	7.74	5.8	6.66
YNL212W	27.22	31.55	31.93	34.53	33.23	34.99
YNL213C	9.58	9.16	10.35	12.26	13.84	12.85
YNL214W	13.19	15.46	17.63	18.06	17.33	17.81
YNL215W	31.45	33.49	28.83	42.13	39.06	39.14
YNL216W	49.74	59.95	42.55	57.05	46.64	48.81
YNL217W	44.54	39.57	48.4	40.78	40.2	39.76
YNL218W	7.49	9.06	7.1	10.04	9.54	8.76
YNL219C	44.27	47.29	50.99	44.86	45.96	45.42
YNL220W	246.89	232.32	192.46	271.81	267.86	201.65
YNL221C	14.98	14.9	17.15	16.6	16.65	16.85
