gene_id	SRR1944912.genes.results	SRR1944913.genes.results	SRR1944914.genes.results	SRR1944915.genes.results	SRR1944916.genes.results	SRR1944917.genes.results
YAL017W	697.07	770.0	486.0	912.0	740.0	477.0
YAL018C	2.0	1.0	1.0	3.0	0.0	0.0
YAL019W	1301.0	1651.0	854.0	1831.0	1555.0	918.0
YAL020C	176.0	200.0	112.0	205.0	204.0	161.0
YAL021C	1802.01	2266.26	1083.29	2153.78	1908.02	1177.81
YAL022C	783.0	998.0	514.0	1085.0	978.0	569.0
YAL023C	5588.0	6791.0	3699.0	6244.0	5284.0	3252.0
YAL024C	239.0	315.0	156.0	349.0	296.0	160.0
YAL025C	1422.0	1683.0	1028.0	1884.0	1759.0	866.0
YAL026C	1034.0	1234.0	681.0	1402.0	1079.0	649.0
YAL027W	106.0	130.0	80.0	147.0	147.0	74.0
YAL028W	52.0	53.0	27.0	50.0	43.0	34.0
YAL029C	909.0	1151.0	618.0	1096.0	1020.0	596.0
YAL030W	540.0	777.0	414.0	930.0	789.0	545.0
YAL031C	208.0	271.0	154.0	370.0	311.0	167.0
YAL032C	253.0	282.0	134.0	287.0	248.0	155.0
YAL033W	374.0	455.0	268.0	484.0	474.0	298.0
YAL034C	14.0	13.0	9.0	34.0	31.0	10.0
YAL034W-A	130.0	157.0	90.0	153.0	142.0	60.0
YAL035W	13936.0	17116.33	8804.0	20508.96	17406.74	9901.0
YAL036C	2712.0	3294.0	1863.0	4977.0	4606.0	2688.0
YAL037C-A	2.0	5.0	6.0	3.0	4.0	1.0
YAL037W	11.0	11.0	14.0	10.0	10.0	4.0
YAL038W	246656.0	279963.0	151719.0	278259.0	251949.0	144469.0
YAL039C	331.0	365.0	225.0	475.0	376.0	281.0
YAL040C	346.0	416.0	214.0	324.0	265.0	156.0
YAL041W	723.0	1021.0	487.0	977.0	891.0	525.0
YAL042W	2396.0	2762.0	1562.0	3506.0	3099.0	1851.0
YAL043C	848.0	1032.0	521.0	1083.0	910.0	603.0
YAL044C	2871.0	3082.0	1639.0	4018.0	3935.0	2252.0
YAL044W-A	397.0	553.0	274.0	492.0	431.0	244.0
YAL046C	365.0	447.0	243.0	445.0	410.0	273.0
YAL047C	208.0	285.0	125.0	289.0	242.0	128.0
YAL048C	207.0	235.0	147.0	315.0	273.0	136.0
YAL049C	817.0	1092.0	546.0	1255.0	1150.0	556.0
YAL051W	446.0	543.0	327.0	697.0	611.0	306.0
YAL053W	1305.0	1561.0	874.0	1676.0	1485.0	863.0
YAL054C	23.0	54.0	20.0	40.0	38.0	15.0
YAL055W	93.0	124.0	103.0	118.0	95.0	60.0
YAL056W	193.0	245.0	158.0	307.0	259.0	151.0
YAL058W	305.0	338.0	209.0	393.0	360.0	226.0
YAL059W	698.0	853.0	498.0	821.0	756.0	365.0
YAL060W	1077.0	1240.0	650.0	1605.0	1325.0	750.0
YAL061W	147.0	116.0	130.0	243.0	173.0	187.0
YAL062W	22.09	29.16	25.15	48.25	27.14	20.04
YAL063C	47.94	17.29	24.92	26.43	19.7	25.34
YAL063C-A	0.0	1.0	0.0	0.0	0.0	1.0
YAL064C-A	0.0	0.0	0.0	0.0	0.0	0.0
YAL064W	0.0	0.0	0.0	0.0	0.0	0.0
YAL064W-B	1.06	1.03	1.02	1.41	1.38	0.0
YAL065C	2.0	5.69	1.39	1.3	0.22	0.0
YAL067C	4.0	8.0	2.0	9.0	9.0	3.0
YAL067W-A	0.0	0.0	0.0	0.0	0.0	0.0
YAL068C	0.0	0.0	0.0	0.0	0.0	0.0
YAR002C-A	2662.0	3316.0	1937.0	3373.0	3146.0	1793.0
YAR002W	1560.0	1839.0	952.0	1900.0	1574.0	863.0
YAR003W	262.0	322.0	179.0	340.0	337.0	149.0
YAR007C	1919.0	2370.0	1296.0	2854.0	2458.0	1301.0
YAR008W	205.0	226.0	147.0	263.0	236.0	117.0
YAR009C	13.0	14.0	10.0	10.0	11.0	11.0
YAR010C	1.0	1.0	2.0	3.0	2.0	2.0
YAR014C	856.0	1122.0	512.0	1252.0	941.0	496.0
YAR015W	3037.0	3227.0	1318.0	2382.0	2327.0	935.0
YAR018C	226.0	311.0	147.0	358.0	316.0	187.0
YAR019C	163.0	201.0	103.0	260.0	189.0	117.0
YAR020C	0.0	1.0	1.27	1.51	0.95	0.0
YAR023C	4.0	8.0	5.0	3.0	5.0	3.0
YAR027W	478.08	605.43	310.59	602.53	525.35	261.74
YAR028W	301.74	369.89	200.22	382.34	341.59	185.43
YAR029W	1.0	4.0	2.0	3.0	0.0	1.0
YAR031W	85.74	126.38	86.41	106.08	103.75	60.74
YAR033W	210.57	240.93	129.76	228.24	200.23	122.56
YAR035C-A	0.0	0.0	0.0	0.0	0.0	1.0
YAR035W	37.0	38.0	30.0	57.0	65.0	32.0
YAR042W	726.0	803.0	539.0	722.0	704.0	421.0
YAR050W	0.0	7.45	6.67	18.86	2.42	3.66
YAR061W	0.0	0.0	0.0	0.0	0.0	0.0
YAR064W	0.0	0.0	0.5	0.0	0.0	0.0
YAR066W	0.21	0.0	35.0	0.0	0.0	24.0
YAR068W	0.0	10.52	0.0	3.16	3.05	5.1
YAR071W	1003.2	1457.21	801.87	216.23	272.56	30.66
YBL001C	1321.0	1642.0	1003.0	2150.0	1841.0	1080.0
YBL002W	10168.7	12410.99	6884.84	11208.62	10736.93	5669.82
YBL003C	8024.64	9578.27	5367.93	9603.09	8678.13	4517.45
YBL004W	3531.0	4612.0	2265.0	4577.0	3720.0	2122.0
YBL005W	185.0	213.0	193.0	250.0	174.0	181.0
YBL005W-A	1178.94	1521.92	616.19	1768.87	1710.24	889.46
YBL005W-B	73.36	63.48	34.06	57.14	54.11	32.98
YBL006C	454.0	592.0	334.0	551.0	529.0	277.0
YBL007C	5931.0	7460.0	3318.0	7358.0	5627.0	3400.0
YBL008W	318.0	437.74	269.5	468.27	426.73	234.15
YBL008W-A	0.0	4.26	1.5	11.73	12.27	7.85
YBL009W	712.0	922.0	514.0	805.0	657.0	372.0
YBL010C	190.0	266.0	122.0	245.0	249.0	108.0
YBL011W	804.0	1001.01	507.0	808.0	665.01	363.0
YBL013W	104.0	133.0	78.0	125.0	87.0	54.0
YBL014C	99.0	191.0	109.0	239.0	210.0	122.0
YBL015W	495.0	614.0	330.0	595.0	499.0	278.0
YBL016W	538.0	677.0	411.0	674.0	649.0	377.0
YBL017C	3538.0	4471.0	2415.0	4574.78	4178.98	2068.0
YBL018C	366.0	448.0	326.0	535.0	449.0	252.0
YBL019W	92.0	107.0	74.0	145.0	126.0	51.0
YBL020W	476.0	605.0	350.0	536.0	480.0	238.0
YBL021C	160.0	252.0	123.0	327.0	312.0	160.0
YBL022C	2861.0	3528.0	1891.0	5600.0	4480.0	2755.0
YBL023C	826.0	1182.0	648.0	1133.0	894.0	574.0
YBL024W	4390.0	5379.0	3131.0	5337.0	4661.0	2734.0
YBL025W	136.0	190.0	96.0	235.0	174.0	106.0
YBL026W	1000.0	1213.0	802.0	855.0	981.0	552.0
YBL027W	36727.84	43481.6	21943.09	44178.07	39750.23	20613.39
YBL028C	1257.0	1571.0	915.0	1587.0	1388.0	785.0
YBL029C-A	133.0	188.0	81.0	142.0	130.0	54.0
YBL029W	73.0	99.0	47.0	92.0	83.0	36.0
YBL030C	6242.0	8058.93	4189.0	9393.97	8455.0	4586.0
YBL031W	179.0	198.0	104.0	237.0	196.0	85.0
YBL032W	2690.0	3197.0	1728.0	2720.0	2400.0	1383.0
YBL033C	517.0	648.0	390.0	697.0	652.0	381.0
YBL034C	591.0	763.0	418.0	830.0	718.0	386.0
YBL035C	785.0	927.0	467.0	1075.0	903.0	451.0
YBL036C	1153.0	1596.0	847.0	1961.0	1728.0	913.0
YBL037W	593.0	687.0	427.0	873.0	657.0	462.0
YBL038W	420.0	511.0	308.0	706.0	593.0	302.0
YBL039C	7671.56	9395.0	4891.0	8787.0	7680.0	4090.0
YBL039W-B	35.0	49.0	26.0	42.0	51.0	35.0
YBL040C	1238.0	1582.0	849.0	1776.0	1697.0	838.0
YBL041W	2920.0	3659.0	2023.0	3392.0	2989.0	1664.0
YBL042C	1299.0	1631.0	819.0	1306.0	1079.0	660.0
YBL043W	4.0	3.0	8.0	5.0	14.0	7.0
YBL044W	2.0	0.0	3.0	4.0	3.0	4.0
YBL045C	1760.0	2362.0	1138.0	3439.0	3094.0	1555.0
YBL046W	286.0	388.0	215.0	512.0	425.0	236.0
YBL047C	5563.0	6876.0	3199.0	8913.0	6923.0	3906.0
YBL048W	3.0	16.0	4.0	13.0	13.0	3.0
YBL049W	5.0	11.0	7.0	9.0	13.0	8.0
YBL050W	1440.0	1807.0	861.0	1904.0	1731.0	870.0
YBL051C	1970.0	2544.0	1193.0	3423.0	2673.0	1624.0
YBL052C	150.0	160.0	109.0	199.0	172.0	89.0
YBL054W	751.0	900.0	528.0	804.0	761.0	434.0
YBL055C	379.0	414.0	244.0	377.0	357.0	209.0
YBL056W	1818.0	2143.0	1296.0	2436.0	2139.0	1211.0
YBL057C	602.0	713.0	427.0	816.0	718.0	428.0
YBL058W	3068.0	3771.0	1732.0	5574.0	4813.0	2528.0
YBL059C-A	309.0	391.0	248.0	466.0	405.0	253.0
YBL059W	100.0	130.0	69.0	182.0	161.0	88.0
YBL060W	176.0	226.0	138.0	292.0	235.0	127.0
YBL061C	767.0	989.0	458.0	1046.0	838.0	472.0
YBL063W	287.0	392.0	204.0	413.0	318.0	191.0
YBL064C	887.0	1028.0	537.0	1590.0	1417.0	737.0
YBL066C	188.0	199.0	116.0	241.0	238.0	125.0
YBL067C	530.0	754.0	400.0	657.0	536.0	318.0
YBL068W	1250.0	1433.0	780.0	1612.0	1472.0	778.0
YBL069W	765.0	933.0	465.0	969.0	783.0	431.0
YBL071C	5.19	4.12	2.07	4.08	2.03	0.0
YBL071C-B	4.0	4.0	1.0	0.0	4.0	1.0
YBL071W-A	693.81	846.88	392.93	887.92	911.97	376.0
YBL072C	45901.63	52764.66	25914.48	46420.95	42978.44	22278.26
YBL074C	147.0	215.0	135.0	219.0	190.0	116.0
YBL075C	26.0	57.0	11.0	134.0	97.0	29.0
YBL076C	18228.0	21927.0	11980.0	26322.0	21879.0	12189.0
YBL078C	137.0	194.0	88.0	314.0	270.0	127.0
YBL079W	1423.0	1824.0	1032.0	2145.0	1847.0	1120.0
YBL080C	136.0	131.0	76.0	159.0	140.0	78.0
YBL081W	524.73	664.03	371.3	613.88	621.5	385.27
YBL082C	566.0	637.0	355.0	630.0	563.0	355.0
YBL084C	214.0	275.0	157.0	259.0	251.0	144.0
YBL085W	880.0	1127.0	560.0	1212.01	1007.0	529.0
YBL086C	306.0	345.0	175.0	515.0	463.0	228.0
YBL087C	18028.09	21734.16	12567.51	21110.54	19672.3	11350.58
YBL088C	136.0	133.0	109.0	177.0	138.0	72.0
YBL089W	254.0	284.0	185.0	337.0	336.0	171.0
YBL090W	382.0	454.0	247.0	586.0	471.0	235.0
YBL091C	2686.01	3359.0	1815.0	2954.0	2651.0	1474.0
YBL091C-A	167.0	203.0	132.0	182.0	196.0	121.0
YBL092W	44213.0	52207.0	25182.0	48776.0	46931.0	20807.0
YBL093C	557.0	640.0	392.0	751.0	663.0	429.0
YBL095W	82.0	92.0	56.0	76.0	71.0	31.0
YBL097W	311.0	353.0	198.0	399.0	365.0	195.0
YBL098W	442.0	554.0	282.0	642.0	627.0	302.0
YBL099W	9033.0	11683.0	5482.0	12330.0	11169.0	5769.0
YBL100W-A	3.23	0.8	4.21	7.7	2.62	5.03
YBL100W-B	3.06	20.64	11.07	13.09	17.37	7.81
YBL100W-C	3.0	6.0	3.0	3.0	9.0	2.0
YBL101C	534.0	656.0	322.0	781.0	687.0	413.0
YBL102W	821.0	937.0	578.0	1257.0	1114.0	658.0
YBL103C	364.0	419.0	216.0	428.0	360.0	212.0
YBL104C	370.0	441.0	227.0	466.0	413.0	265.0
YBL105C	737.0	1066.0	586.0	1208.0	1051.0	558.0
YBL106C	222.0	281.0	213.0	212.0	209.0	97.0
YBL107C	225.0	296.0	173.0	367.0	333.0	185.0
YBL108C-A	0.0	0.0	0.0	0.0	0.0	0.0
YBL111C	0.0	0.0	0.0	0.0	0.0	0.0
YBL112C	0.0	0.0	0.0	0.0	0.0	0.0
YBL113C	0.0	1.11	0.0	1.0	1.23	0.0
YBR001C	470.0	620.33	284.88	752.11	622.0	317.8
YBR002C	318.0	431.0	219.0	421.0	368.0	213.0
YBR003W	428.0	594.0	297.0	530.0	505.0	280.0
YBR004C	450.0	477.0	272.0	612.0	497.0	247.0
YBR005W	117.0	180.0	85.0	215.0	213.0	92.0
YBR006W	204.0	300.0	182.0	331.0	290.0	153.0
YBR007C	311.0	349.0	199.0	410.0	335.0	175.0
YBR008C	62.0	134.0	118.0	158.0	151.0	63.0
YBR009C	7859.13	9302.68	5315.91	11521.37	9901.82	5014.65
YBR010W	13385.72	15398.39	8836.78	16044.74	14331.86	7591.31
YBR011C	24580.0	28366.0	16569.0	27169.0	26494.0	14967.0
YBR012W-A	47.08	23.3	2.39	15.77	1.63	12.01
YBR012W-B	52.21	55.78	29.01	49.19	46.73	22.61
YBR013C	131.0	192.0	108.0	221.0	200.0	116.0
YBR014C	688.0	899.0	510.0	884.0	740.0	407.0
YBR015C	1719.0	2180.0	1172.0	2229.0	1979.0	1200.0
YBR016W	1194.0	1359.0	681.0	1626.0	1467.0	741.0
YBR017C	2267.0	2778.0	1555.0	3263.0	2823.0	1644.0
YBR018C	2.0	4.0	4.0	12.0	13.0	5.0
YBR019C	5.0	9.0	7.0	6.0	11.0	5.0
YBR020W	0.0	0.0	0.0	0.0	0.0	0.0
YBR021W	266.0	360.0	177.0	247.0	239.0	150.0
YBR022W	217.0	278.0	179.0	377.0	326.0	182.0
YBR023C	1383.0	1783.0	952.0	2033.0	1763.0	1019.0
YBR024W	205.0	240.0	143.0	239.0	196.0	122.0
YBR025C	15024.0	18463.0	9837.0	19546.0	16979.0	8652.0
YBR026C	1137.67	1550.82	716.56	1991.83	1794.45	979.45
YBR027C	1.33	5.18	6.44	7.17	6.55	2.55
YBR028C	436.0	500.0	270.0	477.0	497.0	301.0
YBR029C	1150.0	1542.0	809.0	1595.0	1281.0	832.0
YBR030W	262.0	308.0	154.0	399.0	372.0	206.0
YBR031W	74470.41	85842.43	41678.07	75536.39	69296.88	37193.27
YBR032W	0.0	0.0	0.0	2.0	3.0	0.0
YBR033W	11.0	19.0	8.0	11.0	7.0	1.0
YBR034C	1874.0	2280.0	1255.0	2178.0	1909.0	1109.0
YBR035C	1632.0	2046.0	1057.0	2072.0	1822.0	976.0
YBR036C	1632.0	1832.0	1117.0	2307.0	1993.0	1266.0
YBR037C	412.0	459.0	213.0	574.0	479.0	281.0
YBR038W	2072.0	2556.0	1344.0	2803.0	2453.0	1437.0
YBR039W	2594.0	3527.0	1827.0	4462.0	4164.0	1867.0
YBR040W	3.0	11.0	4.0	12.0	6.0	10.0
YBR041W	898.0	1178.0	609.0	1197.0	1105.0	654.0
YBR042C	509.0	685.0	379.0	651.0	567.0	324.0
YBR043C	125.0	154.0	89.0	152.0	143.0	106.0
YBR044C	156.0	145.0	75.0	148.0	150.0	65.0
YBR045C	21.0	34.0	20.0	26.0	21.0	11.0
YBR046C	616.0	789.0	422.0	833.0	704.0	382.0
YBR047W	134.0	162.0	93.0	169.0	159.0	91.0
YBR048W	25184.55	29916.48	14191.02	26274.06	25665.99	12263.02
YBR049C	2053.0	2632.0	1110.0	2732.0	2086.0	1218.0
YBR050C	13.0	23.0	6.0	16.0	12.0	7.0
YBR052C	1140.0	1332.0	901.0	1734.0	1609.0	937.0
YBR053C	739.0	960.0	548.0	590.0	508.0	294.0
YBR054W	616.98	912.68	534.95	446.43	305.32	179.21
YBR055C	394.0	642.0	297.0	607.0	482.0	292.0
YBR056W	712.0	937.0	498.0	1093.0	939.0	563.0
YBR056W-A	33.0	39.0	18.0	52.0	41.0	26.0
YBR057C	402.0	537.0	249.0	573.0	522.0	253.0
YBR058C	1230.0	1574.0	796.0	1706.0	1581.0	878.0
YBR058C-A	997.0	1251.0	752.0	1643.0	1539.0	979.0
YBR059C	1251.0	1540.0	862.0	2024.0	1560.0	1021.0
YBR060C	471.0	612.0	292.0	590.0	468.0	279.0
YBR061C	704.0	840.0	459.0	818.0	740.0	399.0
YBR062C	325.0	408.0	271.0	489.0	457.0	248.0
YBR063C	1.0	3.0	1.0	10.0	4.0	3.0
YBR065C	261.0	325.0	204.0	371.0	335.0	183.0
YBR066C	293.0	450.0	230.0	348.0	297.0	165.0
YBR067C	4995.0	5743.0	3726.0	4596.0	4414.0	3335.0
YBR068C	3364.0	4466.0	2204.0	6190.0	5291.0	2713.0
YBR069C	44.0	55.0	35.0	68.0	50.0	43.0
YBR070C	276.0	324.0	195.0	295.0	273.0	136.0
YBR071W	472.0	688.0	357.0	816.0	760.0	410.0
YBR072C-A	3.0	3.0	0.0	3.0	2.0	2.0
YBR072W	274.0	308.0	230.0	515.0	415.0	160.0
YBR073W	966.0	1243.0	725.0	1595.0	1385.0	799.0
YBR074W	1336.0	1774.0	915.0	1638.0	1412.0	770.0
YBR076W	4.0	3.0	3.0	10.0	0.0	2.0
YBR077C	466.0	601.0	283.0	737.0	751.0	275.0
YBR078W	37681.0	46094.0	23004.0	40560.0	36271.0	20193.0
YBR079C	8925.0	10281.0	5517.0	10207.0	8031.0	5141.0
YBR080C	2952.0	3712.0	1909.0	4046.0	3603.0	1784.0
YBR081C	581.0	745.0	370.0	800.0	705.0	370.0
YBR082C	6435.0	7604.0	4483.0	7852.0	7788.0	4339.0
YBR083W	722.0	1120.0	477.0	874.0	802.0	500.0
YBR084C-A	27946.16	33937.4	16744.91	35674.93	32663.77	16487.61
YBR084W	5535.0	6790.0	3528.0	6630.0	6196.0	3153.0
YBR085C-A	535.0	716.0	472.0	1220.0	1037.0	566.0
YBR085W	198.0	239.07	164.0	253.03	164.0	98.0
YBR086C	2892.0	3946.0	1973.0	3401.0	2926.0	1626.0
YBR087W	648.0	834.0	499.0	798.0	736.0	389.0
YBR088C	1983.0	2380.0	1412.0	2472.0	2277.0	1343.0
YBR089C-A	1016.02	1215.44	556.0	1163.0	1024.0	464.46
YBR090C	8.98	8.56	0.0	0.0	0.0	8.54
YBR091C	302.0	326.0	153.0	370.0	367.0	158.0
YBR092C	3971.89	4990.88	3023.55	5629.44	5370.77	3174.17
YBR093C	1166.06	1259.65	688.89	160.96	175.98	30.96
YBR094W	727.0	975.0	527.0	1039.0	819.0	461.0
YBR095C	314.0	447.0	233.0	551.0	433.0	243.0
YBR096W	1052.0	1444.0	762.0	1645.0	1397.0	753.0
YBR097W	305.0	365.0	222.0	353.0	322.0	201.0
YBR098W	96.0	141.0	81.0	170.0	131.0	92.0
YBR101C	1593.0	1949.0	1028.0	2771.0	2382.0	1113.0
YBR102C	575.0	875.0	429.0	1067.0	881.0	437.0
YBR103W	287.0	374.0	214.0	494.0	413.0	210.0
YBR104W	487.0	651.0	438.0	534.0	508.0	261.0
YBR105C	189.0	248.0	135.0	296.0	252.0	171.0
YBR106W	7677.0	8845.0	4992.0	7916.0	7591.0	4542.0
YBR107C	71.0	57.0	38.0	85.0	70.0	38.0
YBR108W	549.0	795.95	311.56	769.56	603.9	360.51
YBR109C	4641.0	5342.0	2982.0	5410.0	5035.0	2624.0
YBR110W	563.0	751.0	409.0	878.0	812.0	430.0
YBR111C	1609.0	2026.0	1032.0	2264.0	1874.0	1057.0
YBR111W-A	307.0	351.0	199.0	356.0	272.0	154.0
YBR112C	1900.32	2151.62	1124.7	2198.39	1614.87	1115.7
YBR114W	137.0	192.0	119.0	242.0	214.0	120.0
YBR115C	5639.0	6562.0	3290.0	12459.0	9819.0	5549.0
YBR117C	14.0	13.0	10.0	18.0	22.0	15.0
YBR118W	287093.46	338287.26	196546.26	330388.24	296134.26	177933.75
YBR119W	228.0	255.0	161.0	235.0	202.0	112.0
YBR120C	157.0	238.0	144.0	296.0	216.0	163.0
YBR121C	11319.0	13619.0	8204.0	13863.0	11797.0	7129.0
YBR122C	525.0	633.0	363.0	950.0	822.0	461.0
YBR123C	450.0	627.0	369.0	772.0	596.0	329.0
YBR125C	341.0	395.0	268.0	536.0	522.0	316.0
YBR126C	3132.0	3761.0	2022.0	5377.0	4885.0	2574.0
YBR126W-A	1549.0	1763.0	1037.0	1879.0	1801.0	1054.0
YBR127C	16882.0	20008.0	10891.0	22212.0	19400.0	10268.0
YBR128C	22.0	43.0	28.0	36.0	37.0	15.0
YBR129C	321.0	383.0	208.0	426.0	406.0	185.0
YBR130C	835.0	1045.0	497.0	1180.0	940.0	494.0
YBR131W	179.0	206.0	118.0	277.0	204.0	116.0
YBR132C	330.0	397.0	229.0	500.0	425.0	263.0
YBR133C	499.0	603.0	339.0	537.0	525.0	245.0
YBR135W	623.62	703.67	406.55	610.06	597.49	335.28
YBR136W	290.0	302.0	203.0	329.0	267.0	149.0
YBR137W	481.0	690.0	371.0	792.0	673.0	361.0
YBR138C	205.0	277.0	160.0	331.0	258.0	134.0
YBR139W	1032.0	1396.0	837.0	1474.0	1323.0	869.0
YBR140C	887.0	1070.0	654.0	1082.0	854.0	575.0
YBR141C	237.0	269.0	173.0	423.0	369.0	203.0
YBR142W	1370.0	1729.0	966.0	1820.0	1691.0	979.0
YBR143C	7366.0	9433.0	4634.0	10639.0	8897.0	4423.0
YBR144C	0.0	1.0	2.0	2.0	0.0	1.0
YBR145W	145.0	156.0	95.0	233.02	180.0	92.0
YBR146W	612.0	762.0	436.0	726.0	655.0	359.0
YBR147W	12.0	21.0	2.0	15.0	15.0	5.0
YBR148W	15.0	51.0	20.0	30.0	33.0	14.0
YBR149W	2471.0	3126.0	1597.0	3448.0	2890.0	1697.0
YBR150C	213.66	293.19	134.08	279.32	233.27	131.68
YBR151W	1432.0	2077.0	991.0	2011.0	1777.0	874.0
YBR152W	125.0	180.0	82.0	170.0	117.0	96.0
YBR153W	135.0	137.0	103.0	199.0	205.0	104.0
YBR154C	2462.0	3267.0	1887.0	3142.0	2736.0	1487.0
YBR155W	1115.0	1391.0	710.0	1433.0	1190.0	653.0
YBR156C	203.0	284.0	151.0	331.0	271.0	151.0
YBR157C	189.0	288.0	140.0	237.0	216.0	89.0
YBR158W	1262.0	1633.0	893.0	1719.0	1645.0	831.0
YBR159W	2075.0	2748.0	1593.0	2559.0	2229.0	1339.0
YBR160W	768.0	915.0	537.0	1035.0	844.0	465.0
YBR161W	232.0	347.0	147.0	275.0	244.0	141.0
YBR162C	10356.0	12389.0	6950.0	9541.0	9014.0	4653.0
YBR162W-A	1309.0	1576.0	906.0	2016.0	1767.0	965.0
YBR163W	106.0	128.0	62.0	125.0	121.0	52.0
YBR164C	1248.0	1650.0	914.0	2080.0	1844.0	1021.0
YBR165W	202.0	320.0	185.0	352.0	289.0	173.0
YBR166C	798.0	1090.0	573.0	1083.0	908.0	561.0
YBR167C	139.0	163.0	124.0	196.0	167.0	87.0
YBR168W	101.0	103.0	84.0	128.0	110.0	69.0
YBR169C	503.0	635.0	370.62	408.0	369.85	186.0
YBR170C	970.0	1136.0	707.0	1526.0	1321.0	755.0
YBR171W	1168.0	1620.0	826.0	2002.0	1769.0	985.0
YBR172C	1044.0	1296.0	653.0	1541.0	1151.0	712.0
YBR173C	1474.0	1642.0	915.0	1710.0	1566.0	906.0
YBR175W	244.0	302.0	169.0	476.0	392.0	206.0
YBR176W	395.0	452.0	249.0	497.0	449.0	225.0
YBR177C	1238.0	1588.0	876.0	2470.0	2291.0	1152.0
YBR179C	406.0	542.0	305.0	524.0	421.0	259.0
YBR180W	19.0	23.0	11.0	12.0	13.0	10.0
YBR181C	42324.23	46654.16	25955.07	44799.74	40889.3	24240.87
YBR182C	31.0	40.0	15.0	37.0	29.0	13.0
YBR182C-A	2.0	3.0	2.0	5.0	6.0	2.0
YBR183W	78.0	119.0	66.0	178.0	172.0	97.0
YBR184W	47.0	81.0	39.0	55.0	63.0	23.0
YBR185C	363.0	391.0	217.0	466.0	451.0	261.0
YBR186W	17.0	16.0	9.0	22.0	17.0	4.0
YBR187W	1864.0	2290.0	1253.0	2670.0	2442.0	1369.0
YBR188C	251.0	264.0	138.0	255.0	224.0	140.0
YBR189W	50195.04	58413.36	30254.13	57797.17	53530.21	26794.41
YBR191W	39623.2	45414.73	24543.25	42861.77	39272.78	21287.88
YBR192W	347.0	472.0	265.0	477.0	423.0	229.0
YBR193C	245.0	328.0	191.0	307.0	278.0	152.0
YBR194W	76.0	138.0	65.0	183.0	172.0	82.0
YBR195C	273.0	319.0	205.0	399.0	321.0	194.0
YBR196C	45909.0	52869.0	31229.0	54650.0	48747.0	30148.0
YBR196C-A	0.0	0.0	0.0	0.0	0.0	0.0
YBR196C-B	1.0	4.0	3.0	1.0	5.0	0.0
YBR197C	206.0	255.0	113.0	254.0	227.0	145.0
YBR198C	1170.0	1451.0	681.0	2099.0	1633.0	1000.0
YBR199W	1109.0	1406.0	790.0	1572.0	1304.0	668.0
YBR200W	570.0	738.0	448.0	772.0	681.0	353.0
YBR200W-A	0.0	1.0	0.0	2.0	3.0	0.0
YBR201C-A	30.0	37.0	20.0	36.0	40.0	23.0
YBR201W	144.0	183.0	117.0	219.0	212.0	95.0
YBR202W	1086.06	1328.54	754.57	1429.82	1252.86	766.42
YBR203W	43.0	49.0	37.0	34.0	44.0	22.0
YBR204C	241.0	327.0	179.0	315.0	298.0	185.0
