Sample	Length	Plus_Count	Minus_Count	Plus_Ratio	Minus_Ratio
ncs2d_elp6d_ribo_YPD3	37	83	0	0.0003	0.0
ncs2d_elp6d_ribo_YPD3	38	8	0	0.0	0.0
ncs2d_elp6d_ribo_YPD3	39	1	0	0.0	0.0
ncs2d_ribo_YPD1	25	29595	30	0.1299	0.2009
ncs2d_ribo_YPD1	26	51969	63	0.2281	0.4219
ncs2d_ribo_YPD1	27	96091	69	0.4218	0.4621
ncs2d_ribo_YPD1	28	473418	509	2.0782	3.4088
ncs2d_ribo_YPD1	29	5377165	3076	23.6044	20.6001
ncs2d_ribo_YPD1	30	8860109	6272	38.8936	42.0038
ncs2d_ribo_YPD1	31	6125922	3885	26.8912	26.0179
ncs2d_ribo_YPD1	32	1627093	946	7.1425	6.3354
ncs2d_ribo_YPD1	33	135228	80	0.5936	0.5358
ncs2d_ribo_YPD1	34	3275	1	0.0144	0.0067
ncs2d_ribo_YPD1	35	417	1	0.0018	0.0067
ncs2d_ribo_YPD1	36	70	0	0.0003	0.0
ncs2d_ribo_YPD1	37	9	0	0.0	0.0
ncs2d_ribo_YPD1	38	1	0	0.0	0.0
ncs2d_ribo_YPD1	39	1	0	0.0	0.0
ncs2d_ribo_YPD2	25	28260	16	0.1395	0.1152
ncs2d_ribo_YPD2	26	45560	37	0.2248	0.2663
ncs2d_ribo_YPD2	27	75438	52	0.3723	0.3743
ncs2d_ribo_YPD2	28	254315	354	1.2551	2.548
ncs2d_ribo_YPD2	29	2858196	1870	14.1056	13.46
ncs2d_ribo_YPD2	30	6561333	4737	32.3812	34.0963
ncs2d_ribo_YPD2	31	6904004	4658	34.0723	33.5277
ncs2d_ribo_YPD2	32	3026943	1855	14.9384	13.352
ncs2d_ribo_YPD2	33	494672	298	2.4413	2.145
ncs2d_ribo_YPD2	34	12774	14	0.063	0.1008
ncs2d_ribo_YPD2	35	1106	2	0.0055	0.0144
ncs2d_ribo_YPD2	36	177	0	0.0009	0.0
ncs2d_ribo_YPD2	37	28	0	0.0001	0.0
ncs2d_ribo_YPD2	38	3	0	0.0	0.0
ncs2d_ribo_YPD3	25	20668	7	0.186	0.0971
ncs2d_ribo_YPD3	26	30351	16	0.2732	0.222
ncs2d_ribo_YPD3	27	70252	60	0.6323	0.8324
ncs2d_ribo_YPD3	28	141882	157	1.2769	2.1781
ncs2d_ribo_YPD3	29	686979	483	6.1827	6.7009
ncs2d_ribo_YPD3	30	2078432	1545	18.7055	21.4345
ncs2d_ribo_YPD3	31	3651127	2267	32.8594	31.4512
ncs2d_ribo_YPD3	32	3267707	1986	29.4087	27.5527
ncs2d_ribo_YPD3	33	1065882	611	9.5927	8.4767
ncs2d_ribo_YPD3	34	93259	68	0.8393	0.9434
ncs2d_ribo_YPD3	35	4107	8	0.037	0.111
ncs2d_ribo_YPD3	36	626	0	0.0056	0.0
ncs2d_ribo_YPD3	37	76	0	0.0007	0.0
ncs2d_ribo_YPD3	38	9	0	0.0001	0.0
ncs2d_ribo_YPD3	39	2	0	0.0	0.0
wt_ribo_YPD1	25	18256	11	0.0975	0.1084
wt_ribo_YPD1	26	35462	26	0.1895	0.2562
wt_ribo_YPD1	27	85176	45	0.4551	0.4434
wt_ribo_YPD1	28	591796	403	3.1618	3.9712
wt_ribo_YPD1	29	4012050	2012	21.435	19.8266
wt_ribo_YPD1	30	7370613	4192	39.3787	41.3086
wt_ribo_YPD1	31	5286374	2806	28.2433	27.6508
wt_ribo_YPD1	32	1236126	616	6.6042	6.0702
wt_ribo_YPD1	33	78974	35	0.4219	0.3449
wt_ribo_YPD1	34	2122	0	0.0113	0.0
wt_ribo_YPD1	35	245	0	0.0013	0.0
wt_ribo_YPD1	36	55	0	0.0003	0.0
wt_ribo_YPD1	37	11	0	0.0001	0.0
wt_ribo_YPD1	38	3	0	0.0	0.0
wt_ribo_YPD1	39	0	2	0.0	0.0197
wt_ribo_YPD1	41	3	0	0.0	0.0
WT_ribo_YPD2	25	27392	19	0.123	0.156
WT_ribo_YPD2	26	62702	39	0.2816	0.3202
WT_ribo_YPD2	27	150457	100	0.6757	0.821
WT_ribo_YPD2	28	1032919	652	4.6389	5.3526
WT_ribo_YPD2	29	5315148	2671	23.8705	21.9276
WT_ribo_YPD2	30	8158123	4542	36.6383	37.2876
WT_ribo_YPD2	31	5889637	3263	26.4505	26.7876
WT_ribo_YPD2	32	1513525	828	6.7973	6.7975
WT_ribo_YPD2	33	114470	65	0.5141	0.5336
WT_ribo_YPD2	34	1994	2	0.009	0.0164
WT_ribo_YPD2	35	201	0	0.0009	0.0
WT_ribo_YPD2	36	46	0	0.0002	0.0
WT_ribo_YPD2	37	8	0	0.0	0.0
WT_ribo_YPD2	38	5	0	0.0	0.0
WT_ribo_YPD2	39	3	0	0.0	0.0
WT_ribo_YPD2	40	6	0	0.0	0.0
WT_ribo_YPD2	41	2	0	0.0	0.0
WT_ribo_YPD2	42	4	0	0.0	0.0
WT_ribo_YPD2	43	1	0	0.0	0.0
WT_ribo_YPD3	25	32571	22	0.2737	0.3065
WT_ribo_YPD3	26	49890	39	0.4192	0.5433
WT_ribo_YPD3	27	104614	80	0.879	1.1145
WT_ribo_YPD3	28	232563	217	1.9541	3.0231
WT_ribo_YPD3	29	1325812	777	11.14	10.8247
WT_ribo_YPD3	30	3257102	1997	27.3674	27.8211
WT_ribo_YPD3	31	4411721	2581	37.0689	35.9571
WT_ribo_YPD3	32	2124986	1269	17.8549	17.679
WT_ribo_YPD3	33	351239	189	2.9512	2.633
WT_ribo_YPD3	34	9889	5	0.0831	0.0697
WT_ribo_YPD3	35	803	1	0.0067	0.0139
WT_ribo_YPD3	36	112	0	0.0009	0.0
WT_ribo_YPD3	37	40	1	0.0003	0.0139
WT_ribo_YPD3	38	15	0	0.0001	0.0
WT_ribo_YPD3	39	14	0	0.0001	0.0
WT_ribo_YPD3	40	13	0	0.0001	0.0
WT_ribo_YPD3	41	3	0	0.0	0.0
WT_ribo_YPD3	42	1	0	0.0	0.0
WT_ribo_YPD3	43	2	0	0.0	0.0
WT_ribo_YPD3	44	2	0	0.0	0.0
WT_ribo_YPD3	45	3	0	0.0	0.0
