Sample	Length	Site	End	Offset	Count
elp6d_ribo_YPD1	32	TIS	5p-end	-8	14999
elp6d_ribo_YPD1	33	TIS	5p-end	-8	9438
elp6d_ribo_YPD1	27	TIS	5p-end	-7	989
elp6d_ribo_YPD1	28	TIS	5p-end	-7	751
elp6d_ribo_YPD1	29	TIS	5p-end	-7	2030
elp6d_ribo_YPD1	30	TIS	5p-end	-7	7130
elp6d_ribo_YPD1	31	TIS	5p-end	-7	21572
elp6d_ribo_YPD1	32	TIS	5p-end	-7	25996
elp6d_ribo_YPD1	33	TIS	5p-end	-7	2240
elp6d_ribo_YPD1	27	TIS	5p-end	-6	334
elp6d_ribo_YPD1	28	TIS	5p-end	-6	551
elp6d_ribo_YPD1	29	TIS	5p-end	-6	2016
elp6d_ribo_YPD1	30	TIS	5p-end	-6	9495
elp6d_ribo_YPD1	31	TIS	5p-end	-6	16247
elp6d_ribo_YPD1	32	TIS	5p-end	-6	6648
elp6d_ribo_YPD1	33	TIS	5p-end	-6	2993
elp6d_ribo_YPD1	27	TIS	5p-end	-5	921
elp6d_ribo_YPD1	28	TIS	5p-end	-5	536
elp6d_ribo_YPD1	29	TIS	5p-end	-5	1687
elp6d_ribo_YPD1	30	TIS	5p-end	-5	4384
elp6d_ribo_YPD1	31	TIS	5p-end	-5	11019
elp6d_ribo_YPD1	32	TIS	5p-end	-5	23095
elp6d_ribo_YPD1	33	TIS	5p-end	-5	14481
elp6d_ribo_YPD1	27	TIS	5p-end	-4	520
elp6d_ribo_YPD1	28	TIS	5p-end	-4	1192
elp6d_ribo_YPD1	29	TIS	5p-end	-4	3230
elp6d_ribo_YPD1	30	TIS	5p-end	-4	10769
elp6d_ribo_YPD1	31	TIS	5p-end	-4	25090
elp6d_ribo_YPD1	32	TIS	5p-end	-4	29301
elp6d_ribo_YPD1	33	TIS	5p-end	-4	2538
elp6d_ribo_YPD1	27	TIS	5p-end	-3	677
elp6d_ribo_YPD1	28	TIS	5p-end	-3	1106
elp6d_ribo_YPD1	29	TIS	5p-end	-3	2432
elp6d_ribo_YPD1	30	TIS	5p-end	-3	9057
elp6d_ribo_YPD1	31	TIS	5p-end	-3	13160
elp6d_ribo_YPD1	32	TIS	5p-end	-3	5030
elp6d_ribo_YPD1	33	TIS	5p-end	-3	1748
elp6d_ribo_YPD1	27	TIS	5p-end	-2	537
elp6d_ribo_YPD1	28	TIS	5p-end	-2	313
elp6d_ribo_YPD1	29	TIS	5p-end	-2	969
