transcript_id	wt_mrna_YPD1.isoforms.results	wt_mrna_YPD2.isoforms.results	wt_mrna_YPD3.isoforms.results	ncs2d_mrna_YPD1.isoforms.results	ncs2d_mrna_YPD2.isoforms.results	ncs2d_mrna_YPD3.isoforms.results	elp6d_mrna_YPD1.isoforms.results	elp6d_mrna_YPD2.isoforms.results	elp6d_mrna_YPD3.isoforms.results	ncs2d_elp6d_mrna_YPD1.isoforms.results	ncs2d_elp6d_mrna_YPD2.isoforms.results	ncs2d_elp6d_mrna_YPD3.isoforms.results
YOR359W-t26_1	400.0	350.0	503.0	532.0	490.0	654.0	416.0	1057.0	974.0	602.0	738.0	1260.0
YOR360C-t26_1	808.0	630.0	982.0	1105.0	1043.0	1378.0	853.0	2115.0	1965.0	1280.0	954.0	2279.0
YOR361C-t26_1	5228.0	5475.0	6937.0	5962.0	5564.0	8277.0	4161.0	11560.0	9139.0	5715.0	5425.0	11221.0
YOR362C-t26_1	1823.0	1820.0	2549.0	2705.0	2896.0	4833.0	2215.0	5941.0	4982.0	4017.0	3504.0	8092.0
YOR363C-t26_1	272.0	303.0	501.0	444.0	387.0	614.0	361.0	990.0	771.0	571.0	636.0	1217.0
YOR365C-t26_1	154.0	115.0	218.0	181.0	217.0	324.0	152.0	432.0	358.0	302.0	220.0	568.0
YOR367W-t26_1	320.0	336.0	527.0	462.0	470.0	843.0	386.0	1019.0	888.0	609.0	612.0	1357.0
YOR368W-t26_1	241.0	220.0	385.0	320.0	344.0	525.0	268.0	659.0	643.0	454.0	322.0	903.0
YOR369C-t26_1	35689.0	44209.0	49759.0	30058.0	32624.0	62831.0	27769.0	69413.0	58310.0	29886.0	29384.0	63566.0
YOR370C-t26_1	1467.0	1482.0	2116.0	1904.0	1918.0	2941.0	1576.0	4094.0	3382.0	2604.0	2357.0	5020.0
YOR371C-t26_1	256.0	212.0	429.0	341.0	287.0	454.0	311.0	712.0	648.0	463.0	493.0	967.0
YOR372C-t26_1	392.0	336.0	465.0	448.0	412.0	534.0	305.0	1074.0	791.0	580.0	617.0	1196.0
YOR373W-t26_1	479.0	461.0	627.0	615.0	542.0	840.0	408.0	1298.0	1003.0	683.0	798.0	1484.0
YOR374W-t26_1	634.0	771.0	759.0	1406.0	1331.0	2023.0	1015.0	2971.0	2179.0	4214.0	5158.0	9309.0
YOR375C-t26_1	3977.0	4330.0	5872.0	3484.0	3681.0	6456.0	3756.0	10422.0	8492.0	4830.0	4975.0	10063.0
YOR376W-A-t26_1	35.0	13.0	36.0	28.0	34.0	37.0	30.0	64.0	52.0	27.0	38.0	60.0
YOR377W-t26_1	669.0	678.0	878.0	680.0	666.0	983.0	486.0	1253.0	1072.0	576.0	592.0	1037.0
YOR378W-t26_1	120.0	140.0	198.0	175.0	138.0	193.0	129.0	372.0	297.0	196.0	207.0	398.0
YOR380W-t26_1	177.0	162.0	258.0	251.0	231.0	361.0	203.0	507.0	411.0	345.0	366.0	602.0
YOR381W-t26_1	444.0	356.0	502.0	589.0	488.0	650.0	337.0	1145.0	764.0	507.0	732.0	1010.0
YOR381W-A-t26_1	2.0	2.0	4.0	4.0	6.0	7.0	2.0	5.0	5.0	12.0	6.0	8.0
YOR382W-t26_1	2842.0	2048.0	2506.0	3135.0	2002.0	4182.0	1693.0	4598.0	3576.0	2972.0	4739.0	6397.0
YOR383C-t26_1	6550.0	6230.0	5243.0	5246.0	3758.0	6442.0	3187.0	9558.0	5133.0	4237.0	6465.0	7860.0
YOR384W-t26_1	481.0	424.0	528.0	582.0	526.0	614.0	430.0	1105.0	736.0	649.0	624.0	1177.0
YOR385W-t26_1	169.0	137.0	220.0	178.0	198.0	330.0	119.0	349.0	333.0	268.0	175.0	565.0
YOR386W-t26_1	128.0	108.0	150.0	121.0	137.0	144.0	114.0	260.0	231.0	166.0	161.0	331.0
YOR387C-t26_1	31.06	17.0	34.2	29.56	31.5	42.0	13.7	45.4	44.0	40.92	39.09	64.44
YOR388C-t26_1	12.24	11.24	12.7	19.22	29.93	35.37	5.57	7.93	15.51	31.67	14.76	86.78
YOR389W-t26_1	160.73	133.45	202.43	100.93	132.08	151.75	91.3	250.54	230.02	152.21	181.94	291.66
YOR390W-t26_1	253.23	241.31	255.0	296.91	307.71	504.38	229.03	599.1	487.1	252.08	348.02	543.06
YOR391C-t26_1	7.33	0.0	6.0	5.5	3.0	0.0	0.0	20.65	0.0	13.0	12.5	21.11
YOR393W-t26_1	10.5	12.5	2.84	13.5	8.0	9.5	4.0	16.12	13.91	18.11	22.67	42.37
YOR394C-A-t26_1	3.0	0.0	1.0	1.0	2.0	1.0	1.0	3.0	8.0	6.0	6.0	1.0
YOR394W-t26_1	0.0	0.0	0.5	0.5	0.0	2.15	0.0	0.0	1.26	1.86	1.5	2.56
