Sample	Frame	Count	Ratio
R_GR_un_07d_1	1	3488852	26.682915204232003
R_GR_un_07d_1	2	3853295	29.470193559913447
R_GR_un_07d_2	0	5193459	43.42166418280134
R_GR_un_07d_2	1	3501272	29.27356449654175
R_GR_un_07d_2	2	3265794	27.30477132065691
R_GR_un_07d_3	0	5069606	42.79521581523456
R_GR_un_07d_3	1	3317009	28.000620958724475
R_GR_un_07d_3	2	3459583	29.204163226040965
R_GR_in_10d_1	0	5742382	40.81390679383382
R_GR_in_10d_1	1	4595520	32.66259976246778
R_GR_in_10d_1	2	3731768	26.523493443698392
R_GR_in_10d_2	0	3332441	40.74758001554121
R_GR_in_10d_2	1	2604485	31.846463579333246
R_GR_in_10d_2	2	2241329	27.405956405125544
R_GR_in_10d_3	0	4764684	40.41746160319772
R_GR_in_10d_3	1	3792536	32.17100612732031
R_GR_in_10d_3	2	3231457	27.41153226948198
R_GR_un_10d_1	0	5707799	45.03314210405436
R_GR_un_10d_1	1	3755680	29.6313992727065
R_GR_un_10d_1	2	3211184	25.33545862323913
R_GR_un_10d_2	0	6521998	45.24002574007038
R_GR_un_10d_2	1	3388971	23.50769430968118
R_GR_un_10d_2	2	4505464	31.25227995024844
R_GR_un_10d_3	0	4485322	46.094550864228765
R_GR_un_10d_3	1	2314106	23.781498122591195
R_GR_un_10d_3	2	2931271	30.12395101318004
R_GR_in_15d_1	0	6645963	47.80056480644763
R_GR_in_15d_1	1	3452093	24.82890668581577
R_GR_in_15d_1	2	3805468	27.3705285077366
R_GR_in_15d_2	0	6400972	47.3535423837512
R_GR_in_15d_2	1	3720751	27.525622698847094
R_GR_in_15d_2	2	3395686	25.1208349174017
R_GR_in_15d_3	0	409337	47.79724031793443
R_GR_in_15d_3	1	214461	25.042065476183527
R_GR_in_15d_3	2	232605	27.16069420588204
R_GR_un_15d_1	0	6324820	46.84363770862399
R_GR_un_15d_1	1	3239487	23.99267574251871
R_GR_un_15d_1	2	3937676	29.163686548857303
R_GR_un_15d_2	0	6800198	47.2896779791873
R_GR_un_15d_2	1	3882781	27.001487773401134
R_GR_un_15d_2	2	3696899	25.70883424741156
R_GR_un_15d_3	0	4757062	47.60086558999589
R_GR_un_15d_3	1	2826638	28.28435187718276
R_GR_un_15d_3	2	2409946	24.114782532821355
R_GR_in_20d_1	0	10077462	51.402126768145465
R_GR_in_20d_1	1	4498053	22.943226232541196
R_GR_in_20d_1	2	5029631	25.65464699931334
R_GR_in_20d_2	0	9016735	50.32346768295116
R_GR_in_20d_2	1	4533815	25.303759357791844
R_GR_in_20d_2	2	4367005	24.372772959257
R_GR_in_20d_3	0	7343934	49.68974416520852
R_GR_in_20d_3	1	3458437	23.400108135706454
R_GR_in_20d_3	2	3977206	26.91014769908503
R_GR_un_20d_1	0	8044974	49.08003463493762
R_GR_un_20d_1	1	3895548	23.76559958578635
R_GR_un_20d_1	2	4451019	27.15436577927603
R_GR_un_20d_2	0	11174228	47.944695244823386
R_GR_un_20d_2	1	6275395	26.925520117889885
R_GR_un_20d_2	2	5856872	25.12978463728673
R_GR_un_20d_3	0	6548457	45.90458779007758
R_GR_un_20d_3	1	4170367	29.234211672817345
R_GR_un_20d_3	2	3546541	24.86120053710508
R_GR_in_25d_1	0	5790063	47.798384151516096
R_GR_in_25d_1	1	2811657	23.21091521600012
R_GR_in_25d_1	2	3511792	28.99070063248379
R_GR_in_25d_2	0	6345451	47.3802771679883
R_GR_in_25d_2	1	3205298	23.933351253677404
R_GR_in_25d_2	2	3841851	28.686371578334303
R_GR_in_25d_3	0	5710682	47.72043476731295
R_GR_in_25d_3	1	2935766	24.53227651182385
R_GR_in_25d_3	2	3320505	27.7472887208632
R_GR_un_25d_1	0	5872466	48.768712636389175
R_GR_un_25d_1	1	2675407	22.218290436825693
R_GR_un_25d_1	2	3493589	29.01299692678513
R_GR_un_25d_2	0	5948636	49.1766926076022
R_GR_un_25d_2	1	3514052	29.0502654744936
R_GR_un_25d_2	2	2633766	21.773041917904205
R_GR_un_25d_3	0	5223813	49.071262120655184
R_GR_un_25d_3	1	2486895	23.36130263689508
R_GR_un_25d_3	2	2934653	27.56743524244974
