Sample	Length	Plus_Count	Minus_Count	Plus_Ratio	Minus_Ratio
R_GR_un_02d_1	28	2335849	3337	9.4984	9.1185
R_GR_un_02d_1	29	4250384	6044	17.2835	16.5155
R_GR_un_02d_1	30	5882805	8355	23.9215	22.8304
R_GR_un_02d_1	31	5396368	8112	21.9435	22.1664
R_GR_un_02d_1	32	3070749	4579	12.4867	12.5123
R_GR_un_02d_1	33	988522	1698	4.0197	4.6399
R_GR_un_02d_1	34	118661	247	0.4825	0.6749
R_GR_un_02d_1	35	7853	18	0.0319	0.0492
R_GR_un_02d_1	36	869	14	0.0035	0.0383
R_GR_un_02d_1	37	220	9	0.0009	0.0246
R_GR_un_02d_1	38	70	1	0.0003	0.0027
R_GR_un_02d_1	39	7	0	0.0	0.0
R_GR_un_02d_1	40	2	1	0.0	0.0027
R_GR_un_02d_2	20	13732	45	0.0511	0.1106
R_GR_un_02d_2	21	25266	67	0.0941	0.1647
R_GR_un_02d_2	22	45091	99	0.1679	0.2433
R_GR_un_02d_2	23	75895	169	0.2825	0.4154
R_GR_un_02d_2	24	130743	287	0.4867	0.7054
R_GR_un_02d_2	25	241680	480	0.8997	1.1797
R_GR_un_02d_2	26	514808	977	1.9164	2.4012
R_GR_un_02d_2	27	1147795	2006	4.2728	4.9302
R_GR_un_02d_2	28	2512039	3779	9.3513	9.2878
R_GR_un_02d_2	29	4971600	7076	18.5073	17.3909
R_GR_un_02d_2	30	7336652	10242	27.3114	25.172
R_GR_un_02d_2	31	6437031	9504	23.9625	23.3582
R_GR_un_02d_2	32	2824920	4633	10.516	11.3866
R_GR_un_02d_2	33	529886	1103	1.9726	2.7109
R_GR_un_02d_2	34	48289	201	0.1798	0.494
R_GR_un_02d_2	35	6315	17	0.0235	0.0418
R_GR_un_02d_2	36	1003	3	0.0037	0.0074
R_GR_un_02d_2	37	188	0	0.0007	0.0
R_GR_un_02d_2	38	43	0	0.0002	0.0
R_GR_un_02d_2	39	6	0	0.0	0.0
R_GR_un_02d_2	40	3	0	0.0	0.0
